Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2019-09-28,12:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.9,1.3,70.0,31774.0,Jordan Henderson,4-3-3,3-5-2,Anthony Taylor,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,16.0,4.0,25.0,0.06,0.25,19.2,2.0,2.0,100.0,0.2,0.2,640.0,762.0,84.0,11395.0,3278.0,0,1.1,1.1,0.0,48.0,6.0,35.0,10.0,23.0,1.0,5.0,23.0,2.0,11.0,9.0,5.0,1.0,12.0,6.0,27.0,0.0,207.0,24.0,22.0,15.0,6.0,4.0,1.0,51.0,56.5
2019-10-02,20:00,Champions Lg,Group stage,Wed,Home,W,4,3,at RB Salzburg,2.5,1.6,69.0,52243.0,Jordan Henderson,4-3-3,4-4-2,Andreas Ekberg,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,10.0,5.0,50.0,0.4,0.8,14.2,5.0,2.0,40.0,1.8,-1.2,680.0,822.0,82.7,13519.0,4857.0,3,2.1,1.8,2.0,72.0,9.0,61.0,17.0,15.0,4.0,6.0,19.0,7.0,22.0,13.0,11.0,3.0,6.0,11.0,4.0,0.0,210.0,24.0,18.0,16.0,14.0,7.0,1.0,75.0,68.0
2019-10-05,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Leicester City,3.5,0.1,51.0,53322.0,James Milner,4-3-3,4-1-4-1,Chris Kavanagh,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,17.0,7.0,41.2,0.06,0.14,15.0,1.0,0.0,0.0,0.0,-1.0,423.0,554.0,76.4,7570.0,2742.0,1,2.1,1.5,3.0,36.0,14.0,31.0,6.0,17.0,5.0,4.0,32.0,3.0,19.0,10.0,9.0,3.0,8.0,14.0,28.0,0.0,177.0,37.0,26.0,16.0,8.0,9.0,3.0,72.0,39.3
2019-10-20,16:30,Premier League,Matchweek 9,Sun,Away,D,1,1,Manchester Utd,1.2,0.7,66.0,73737.0,Jordan Henderson,4-3-3,3-4-1-2,Martin Atkinson,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,10.0,4.0,40.0,0.1,0.25,19.0,2.0,1.0,50.0,0.5,-0.5,575.0,701.0,82.0,9615.0,3075.0,1,1.1,1.0,3.0,47.0,9.0,39.0,3.0,25.0,0.0,1.0,19.0,2.0,18.0,10.0,5.0,4.0,9.0,10.0,19.0,0.0,193.0,25.0,20.0,26.0,6.0,14.0,1.0,69.0,71.4
2019-10-23,21:00,Champions Lg,Group stage,Wed,Away,W,4,1,be Genk,2.5,1.3,72.0,19626.0,James Milner,4-3-3,4-4-1-1,Slavko Vinčič,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,17.0,7.0,41.2,0.24,0.57,17.7,4.0,3.0,75.0,1.6,0.6,710.0,810.0,87.7,11426.0,3463.0,4,1.8,2.0,1.0,64.0,12.0,61.0,8.0,18.0,5.0,7.0,29.0,8.0,19.0,11.0,10.0,3.0,9.0,10.0,8.0,1.0,240.0,24.0,18.0,25.0,11.0,14.0,2.0,54.0,61.1
2019-10-27,16:30,Premier League,Matchweek 10,Sun,Home,W,2,1,Tottenham,2.6,1.2,67.0,53222.0,Jordan Henderson,4-3-3,4-3-3,Anthony Taylor,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,20.0,12.0,60.0,0.05,0.08,16.4,4.0,3.0,75.0,1.0,0.0,561.0,689.0,81.4,10154.0,3237.0,0,1.7,1.3,6.0,66.0,16.0,45.0,8.0,34.0,0.0,8.0,38.0,3.0,20.0,15.0,2.0,3.0,10.0,12.0,9.0,0.0,255.0,26.0,22.0,22.0,5.0,9.0,0.0,60.0,57.9
2019-10-30,19:30,EFL Cup,Fourth round,Wed,Home,D,5 (5),5 (4),Arsenal,,,66.0,52694.0,James Milner,4-3-3,4-4-1-1,Andre Marriner,Match Report,Liverpool won on penalty kicks following extra time,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,6.0,40.0,0.2,0.5,,7.0,2.0,28.6,,,,,,,,3,,,,,,,,29.0,,,,,,9.0,,,,8.0,,,,,,,,8.0,1.0,,
2019-11-02,15:00,Premier League,Matchweek 11,Sat,Away,W,2,1,Aston Villa,2.4,0.4,73.0,41878.0,Jordan Henderson,4-3-3,4-3-3,Jonathan Moss,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,25.0,6.0,24.0,0.08,0.33,14.6,2.0,1.0,50.0,0.2,-0.8,573.0,707.0,81.0,9251.0,3242.0,2,2.0,2.0,4.0,73.0,20.0,57.0,5.0,39.0,2.0,10.0,46.0,4.0,17.0,12.0,6.0,5.0,8.0,8.0,24.0,1.0,301.0,28.0,31.0,16.0,10.0,9.0,2.0,64.0,53.7
2019-11-05,20:00,Champions Lg,Group stage,Tue,Home,W,2,1,be Genk,2.3,0.7,71.0,52611.0,James Milner,4-3-3,3-5-2,Ivan Kružliak,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,27.0,8.0,29.6,0.07,0.25,17.8,3.0,2.0,66.7,1.2,0.2,721.0,848.0,85.0,12308.0,3930.0,1,1.3,1.3,2.0,74.0,19.0,57.0,6.0,23.0,2.0,9.0,47.0,4.0,14.0,10.0,6.0,1.0,5.0,8.0,12.0,0.0,287.0,39.0,27.0,10.0,7.0,10.0,3.0,66.0,67.6
2019-11-10,16:30,Premier League,Matchweek 12,Sun,Home,W,3,1,Manchester City,1.1,1.3,45.0,53324.0,Jordan Henderson,4-3-3,4-2-3-1,Michael Oliver,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,12.0,5.0,41.7,0.25,0.6,15.9,3.0,2.0,66.7,0.3,-0.7,353.0,463.0,76.2,6850.0,2513.0,2,0.9,0.9,4.0,24.0,8.0,13.0,11.0,17.0,0.0,4.0,23.0,6.0,13.0,5.0,10.0,0.0,10.0,10.0,28.0,0.0,103.0,15.0,14.0,13.0,6.0,10.0,3.0,40.0,48.1
2019-11-23,15:00,Premier League,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,1.4,1.0,60.0,25486.0,Jordan Henderson,4-3-3,4-5-1,Kevin Friend,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,12.0,4.0,33.3,0.17,0.5,13.6,6.0,5.0,83.3,1.1,0.1,449.0,566.0,79.3,8061.0,2660.0,1,1.0,1.3,1.0,47.0,10.0,29.0,7.0,25.0,3.0,8.0,22.0,3.0,24.0,15.0,12.0,2.0,4.0,6.0,30.0,0.0,164.0,18.0,18.0,7.0,4.0,7.0,0.0,37.0,53.3
2019-11-27,20:00,Champions Lg,Group stage,Wed,Home,D,1,1,it Napoli,0.8,0.5,71.0,52128.0,Jordan Henderson,4-3-3,4-4-2,Carlos del Cerro,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,4.0,26.7,0.07,0.25,20.3,1.0,0.0,0.0,1.0,0.0,697.0,815.0,85.5,12454.0,3596.0,1,0.6,1.2,2.0,88.0,9.0,86.0,9.0,40.0,0.0,10.0,25.0,2.0,15.0,11.0,1.0,2.0,12.0,5.0,8.0,0.0,339.0,31.0,33.0,19.0,8.0,15.0,0.0,62.0,52.6
