Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2020-09-21,20:15,Premier League,Matchweek 2,Mon,Away,W,3,1,Wolves,1.9,0.6,65.0,,Fernandinho,4-2-3-1,5-3-2,Andre Marriner,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,13.0,8.0,61.5,0.15,0.25,21.1,1.0,0.0,0.0,0.1,-0.9,626.0,728.0,86.0,10267.0,2977.0,2,1.0,0.7,0.0,46.0,10.0,31.0,5.0,8.0,1.0,6.0,25.0,5.0,22.0,9.0,4.0,4.0,10.0,4.0,13.0,0.0,182.0,24.0,22.0,11.0,16.0,8.0,3.0,57.0,54.2
2020-09-24,19:45,EFL Cup,Third round,Thu,Home,W,2,1,Bournemouth,,,73.0,,Kyle Walker,4-2-3-1,3-5-1-1,Jonathan Moss,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,19.0,4.0,21.1,0.11,0.5,,1.0,0.0,0.0,,,,,,,,1,,,,,,,,29.0,,,,,,12.0,,,,14.0,,,,,,,,10.0,1.0,,
2020-09-27,16:30,Premier League,Matchweek 3,Sun,Home,L,2,5,Leicester City,0.9,2.9,72.0,,Fernandinho,4-2-3-1,5-4-1,Michael Oliver,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,16.0,5.0,31.3,0.13,0.4,19.8,7.0,2.0,71.4,4.4,-0.6,643.0,735.0,87.5,11408.0,2405.0,1,0.5,0.8,2.0,69.0,9.0,71.0,11.0,27.0,0.0,3.0,28.0,4.0,12.0,7.0,5.0,2.0,3.0,8.0,8.0,0.0,272.0,26.0,34.0,14.0,14.0,13.0,2.0,44.0,40.0
2020-09-30,19:00,EFL Cup,Fourth round,Wed,Away,W,3,0,Burnley,,,62.0,,Fernandinho,4-1-4-1,4-4-2,Andy Madley,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,15.0,8.0,53.3,0.2,0.38,,2.0,2.0,100.0,,,,,,,,3,,,,,,,,15.0,,,,,,4.0,,,,14.0,,,,,,,,12.0,2.0,,
2020-10-03,17:30,Premier League,Matchweek 4,Sat,Away,D,1,1,Leeds United,1.2,2.4,49.0,,Kevin De Bruyne,4-3-3,4-1-4-1,Mike Dean,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,23.0,1.0,4.3,0.04,1.0,18.2,7.0,6.0,85.7,3.3,2.3,352.0,445.0,79.1,5960.0,2337.0,1,1.0,1.0,1.0,48.0,18.0,28.0,1.0,20.0,0.0,10.0,43.0,2.0,11.0,5.0,4.0,2.0,7.0,6.0,14.0,2.0,197.0,39.0,20.0,18.0,15.0,12.0,3.0,51.0,72.2
2020-10-17,17:30,Premier League,Matchweek 5,Sat,Home,W,1,0,Arsenal,1.3,0.9,58.0,,Raheem Sterling,3-1-4-2,4-3-3,Chris Kavanagh,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,13.0,5.0,38.5,0.08,0.2,17.7,3.0,3.0,100.0,0.3,0.3,604.0,689.0,87.7,8937.0,2702.0,0,0.9,0.7,1.0,32.0,11.0,38.0,2.0,10.0,0.0,6.0,24.0,1.0,11.0,5.0,4.0,3.0,7.0,8.0,8.0,0.0,204.0,21.0,23.0,11.0,5.0,15.0,0.0,47.0,55.6
2020-10-21,20:00,Champions Lg,Group stage,Wed,Home,W,3,1,pt Porto,1.5,0.2,68.0,,Raheem Sterling,4-3-3,5-4-1,Andris Treimanis,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,8.0,5.0,62.5,0.25,0.4,18.2,2.0,1.0,50.0,1.3,0.3,574.0,666.0,86.2,10382.0,2553.0,1,0.5,0.6,1.0,45.0,4.0,39.0,5.0,11.0,0.0,4.0,15.0,6.0,18.0,9.0,5.0,1.0,5.0,7.0,12.0,1.0,113.0,15.0,12.0,14.0,8.0,15.0,0.0,50.0,64.7
2020-10-24,12:30,Premier League,Matchweek 6,Sat,Away,D,1,1,West Ham,1.0,0.3,69.0,,Raheem Sterling,4-3-3,5-4-1,Anthony Taylor,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,14.0,7.0,50.0,0.07,0.14,20.9,2.0,1.0,50.0,0.2,-0.8,697.0,796.0,87.6,10927.0,3215.0,1,0.8,1.0,1.0,73.0,10.0,56.0,2.0,23.0,5.0,10.0,26.0,2.0,10.0,5.0,5.0,1.0,11.0,9.0,14.0,0.0,245.0,37.0,33.0,14.0,7.0,6.0,0.0,55.0,46.4
2020-10-27,21:00,Champions Lg,Group stage,Tue,Away,W,3,0,fr Marseille,1.9,0.1,64.0,,Kevin De Bruyne,4-3-3,5-3-2,Tobias Stieler,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,8.0,4.0,50.0,0.38,0.75,12.8,2.0,2.0,100.0,0.3,0.3,788.0,869.0,90.7,13294.0,3470.0,3,1.9,1.8,2.0,62.0,8.0,58.0,4.0,17.0,2.0,5.0,13.0,5.0,10.0,4.0,1.0,4.0,6.0,4.0,9.0,0.0,224.0,18.0,25.0,14.0,10.0,10.0,5.0,57.0,56.3
2020-10-31,12:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.6,0.5,65.0,,Kevin De Bruyne,4-3-3,5-3-2,Michael Oliver,Match Report,,2020-2021,premier_league,9,2020-2021 Manchester City,16.0,8.0,50.0,0.06,0.13,18.5,1.0,1.0,100.0,0.3,0.3,659.0,760.0,86.7,11382.0,3206.0,1,1.2,1.3,3.0,38.0,10.0,24.0,8.0,11.0,1.0,5.0,28.0,2.0,12.0,5.0,8.0,1.0,9.0,5.0,14.0,0.0,196.0,35.0,31.0,13.0,7.0,6.0,2.0,46.0,56.7
