Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,season,league_name,league_id
1,Flamengo,38,21,8,9,68,48,20,71,1.87,78.4,35.2,43.2,1.14,,Gabriel Barbosa - 14,Hugo Souza,→ Copa Libertadores via league finish,2020,brasileirao,24
2,Internacional,38,20,10,8,61,35,26,70,1.84,55.3,36.2,19.1,0.5,,Thiago Galhardo - 17,Marcelo Lomba,→ Copa Libertadores via league finish,2020,brasileirao,24
3,Atlético Mineiro,38,20,8,10,64,45,19,68,1.79,68.5,45.7,22.8,0.6,,Keno - 10,Éverson,→ Copa Libertadores via league finish,2020,brasileirao,24
4,São Paulo,38,18,12,8,59,41,18,66,1.74,54.3,39.5,14.8,0.39,,Luciano - 18,Tiago Volpi,→ Copa Libertadores via league finish,2020,brasileirao,24
5,Fluminense,38,18,10,10,55,42,13,64,1.68,41.3,44.9,-3.6,-0.09,,Nenê - 8,"Muriel Becker, Marcos Felipe",→ Copa Libertadores via league finish,2020,brasileirao,24
6,Grêmio,38,14,17,7,53,40,13,59,1.55,54.3,41.8,12.5,0.33,,Diego Souza - 13,Vanderlei,→ Copa Libertadores via league finish,2020,brasileirao,24
7,Palmeiras,38,15,13,10,51,37,14,58,1.53,52.6,39.1,13.5,0.36,,Raphael Veiga - 11,Wéverton,→ Copa Libertadores via cup win,2020,brasileirao,24
8,Santos,38,14,12,12,52,51,1,54,1.42,50.9,56.7,-5.7,-0.15,,Marinho - 17,João Paulo,→ Copa Libertadores via league finish,2020,brasileirao,24
9,Ath Paranaense,38,15,8,15,38,36,2,53,1.39,45.6,47.0,-1.4,-0.04,,Renato Kayser - 8,Santos,→ Copa Sudamericana via league finish,2020,brasileirao,24
10,Red Bull Bragantino,38,13,14,11,50,40,10,53,1.39,53.3,43.3,9.9,0.26,,Claudinho - 18,Cleiton Schwengber,→ Copa Sudamericana via league finish,2020,brasileirao,24
11,Ceará,38,14,10,14,54,51,3,52,1.37,51.8,52.6,-0.7,-0.02,,Vinícius - 13,Fernando Prass,→ Copa Sudamericana via league finish,2020,brasileirao,24
12,Corinthians,38,13,12,13,45,45,0,51,1.34,44.1,54.4,-10.3,-0.27,,Jô - 6,Cássio,→ Copa Sudamericana via league finish,2020,brasileirao,24
13,Atl Goianiense,38,12,14,12,40,45,-5,50,1.32,44.3,54.5,-10.2,-0.27,,Jean - 5,Jean,→ Copa Sudamericana via league finish,2020,brasileirao,24
14,Bahia,38,12,8,18,48,59,-11,44,1.16,55.9,57.7,-1.9,-0.05,,Gilberto - 9,Douglas Friedrich,→ Copa Sudamericana via league finish,2020,brasileirao,24
15,Sport Recife,38,12,6,20,31,50,-19,42,1.11,34.7,58.0,-23.3,-0.61,,"Thiago Neves, Iago Maidana - 6",Luan Polli,,2020,brasileirao,24
16,Fortaleza,38,10,11,17,34,44,-10,41,1.08,43.3,47.8,-4.6,-0.12,,Wellington Paulista - 9,Felipe Alves Raymundo,,2020,brasileirao,24
17,Vasco da Gama,38,10,11,17,37,56,-19,41,1.08,41.1,56.5,-15.4,-0.41,,Germán Cano - 14,Fernando Miguel,Relegated,2020,brasileirao,24
18,Goiás,38,9,10,19,41,63,-22,37,0.97,39.5,61.1,-21.6,-0.57,,Fernandão - 10,Tadeu,Relegated,2020,brasileirao,24
19,Coritiba,38,7,10,21,31,54,-23,31,0.82,37.9,61.4,-23.5,-0.62,,Robson - 8,Wilson,Relegated,2020,brasileirao,24
20,Botafogo (RJ),38,5,12,21,32,62,-30,27,0.71,51.3,64.8,-13.5,-0.36,,Matheus Babi - 10,Diego Cavalieri,Relegated,2020,brasileirao,24
