Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Tchê Tchê,br BRA,"MF,DF",23.0,37,37,3264.0,36.3,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.06,0.08,0.14,0.06,0.14,Matches,2016,brasileirao,24,2016 Palmeiras
Vitor Hugo,br BRA,DF,24.0,35,35,3150.0,35.0,4.0,1.0,5.0,4.0,0.0,0.0,8.0,0.0,0.11,0.03,0.14,0.11,0.14,Matches,2016,brasileirao,24,2016 Palmeiras
Jean,br BRA,"DF,MF",29.0,34,34,2988.0,33.2,6.0,4.0,10.0,3.0,3.0,4.0,3.0,0.0,0.18,0.12,0.3,0.09,0.21,Matches,2016,brasileirao,24,2016 Palmeiras
Dudu,br BRA,"FW,MF",24.0,33,30,2679.0,29.8,6.0,8.0,14.0,6.0,0.0,0.0,5.0,0.0,0.2,0.27,0.47,0.2,0.47,Matches,2016,brasileirao,24,2016 Palmeiras
Moisés Magalhães,br BRA,MF,27.0,34,30,2573.0,28.6,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches,2016,brasileirao,24,2016 Palmeiras
Roger Guedes,br BRA,"MF,FW",19.0,31,28,2153.0,23.9,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,0.17,0.17,0.33,0.17,0.33,Matches,2016,brasileirao,24,2016 Palmeiras
Gabriel Jesus,br BRA,"FW,MF",18.0,27,26,2316.0,25.7,12.0,6.0,18.0,12.0,0.0,0.0,11.0,0.0,0.47,0.23,0.7,0.47,0.7,Matches,2016,brasileirao,24,2016 Palmeiras
Zé Roberto,br BRA,DF,41.0,27,25,2235.0,24.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,2016,brasileirao,24,2016 Palmeiras
Jailson,br BRA,GK,34.0,19,19,1709.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016,brasileirao,24,2016 Palmeiras
Thiago dos Santos,br BRA,MF,26.0,25,15,1367.0,15.2,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,0.07,0.13,0.2,0.07,0.2,Matches,2016,brasileirao,24,2016 Palmeiras
Edu Dracena,br BRA,DF,34.0,17,15,1366.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016,brasileirao,24,2016 Palmeiras
Fernando Prass,br BRA,GK,37.0,16,15,1351.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016,brasileirao,24,2016 Palmeiras
Cleiton Xavier,br BRA,MF,32.0,30,15,1327.0,14.7,4.0,7.0,11.0,3.0,1.0,1.0,3.0,0.0,0.27,0.47,0.75,0.2,0.68,Matches,2016,brasileirao,24,2016 Palmeiras
Erik Lima,br BRA,"MF,FW",21.0,16,14,1052.0,11.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.26,0.09,0.34,0.26,0.34,Matches,2016,brasileirao,24,2016 Palmeiras
Egídio Pereira Júnior,br BRA,DF,29.0,14,13,1079.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016,brasileirao,24,2016 Palmeiras
Yerry Mina,co COL,DF,21.0,13,13,984.0,10.9,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.37,0.09,0.46,0.37,0.46,Matches,2016,brasileirao,24,2016 Palmeiras
Thiago Martins,br BRA,DF,20.0,17,12,1247.0,13.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2016,brasileirao,24,2016 Palmeiras
Matheus Sales,br BRA,MF,20.0,11,6,633.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2016,brasileirao,24,2016 Palmeiras
Gabriel,br BRA,"MF,DF",23.0,9,6,471.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,2016,brasileirao,24,2016 Palmeiras
Leandro Pereira,br BRA,FW,24.0,10,5,520.0,5.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.35,0.0,0.35,0.35,0.35,Matches,2016,brasileirao,24,2016 Palmeiras
Fabiano Leismann,br BRA,DF,24.0,7,5,446.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2016,brasileirao,24,2016 Palmeiras
Alecsandro,br BRA,FW,34.0,13,4,525.0,5.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.51,0.0,0.51,0.51,0.51,Matches,2016,brasileirao,24,2016 Palmeiras
Rafael Marques,br BRA,"FW,MF",32.0,19,3,584.0,6.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.15,0.31,0.46,0.15,0.46,Matches,2016,brasileirao,24,2016 Palmeiras
