Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2019-03-05,18:15,Libertadores,Group stage,Tue,Away,W,1,0,bo San José,1.3,1.2,45.0,,Diego,4-2-3-1,4-4-2,Néstor Pitana,Match Report,,2019,brasileirao,24,2019 Flamengo,13,7,53.8,0.08,0.14,24.3,8,8,100.0,1.2,1.2,281.0,375.0,74.9,4932.0,2438.0,1,1.2,0.6,0.0,26.0,10.0,19.0,3.0,10,3.0,4.0,21.0,2.0,17.0,9,13.0,0.0,12.0,9,35.0,0.0,103.0,21.0,12.0,10.0,6.0,9,0,43.0,54.8
2019-03-13,21:30,Libertadores,Group stage,Wed,Home,W,3,1,ec LDU de Quito,2.5,1.7,69.0,,Diego,4-2-3-1,4-2-3-1,Germán Delfino,Match Report,,2019,brasileirao,24,2019 Flamengo,14,6,42.9,0.21,0.5,13.5,3,1,100.0,2.0,1.0,573.0,670.0,85.5,9859.0,2947.0,3,2.2,1.8,5.0,52.0,11.0,51.0,1.0,20,3.0,4.0,23.0,6.0,9.0,9,2.0,3.0,4.0,9,12.0,0.0,172.0,23.0,13.0,13.0,0.0,14,2,47.0,75.0
2019-04-03,21:30,Libertadores,Group stage,Wed,Home,L,0,1,uy Peñarol,0.5,1.2,60.0,,Diego,4-2-3-1,4-1-4-1,Patricio Loustau,Match Report,,2019,brasileirao,24,2019 Flamengo,9,2,22.2,0.0,0.0,18.8,3,2,66.7,1.8,0.8,439.0,546.0,80.4,7751.0,2788.0,0,0.4,0.5,2.0,58.0,7.0,41.0,2.0,17,2.0,3.0,16.0,0.0,14.0,7,7.0,1.0,10.0,11,21.0,0.0,151.0,21.0,12.0,10.0,9.0,17,5,52.0,59.0
2019-04-11,21:00,Libertadores,Group stage,Thu,Home,W,6,1,bo San José,5.7,0.9,67.0,,Diego,4-2-3-1,4-2-3-1,Piero Maza,Match Report,,2019,brasileirao,24,2019 Flamengo,27,12,44.4,0.15,0.33,16.0,4,3,75.0,1.2,0.2,489.0,575.0,85.0,8008.0,2693.0,4,4.0,3.2,6.0,63.0,20.0,43.0,4.0,30,2.0,8.0,53.0,10.0,14.0,12,4.0,2.0,4.0,14,9.0,1.0,220.0,29.0,18.0,12.0,5.0,7,3,62.0,72.7
2019-04-25,01:30,Libertadores,Group stage,Thu,Away,L,1,2,ec LDU de Quito,0.5,2.0,48.0,,Everton Ribeiro,4-2-3-1,4-4-1-1,Néstor Pitana,Match Report,,2019,brasileirao,24,2019 Flamengo,7,5,71.4,0.14,0.2,22.5,3,1,33.3,1.6,0.0,350.0,442.0,79.2,7068.0,3028.0,1,0.5,0.3,1.0,37.0,7.0,32.0,3.0,9,0.0,2.0,14.0,2.0,21.0,15,18.0,0.0,9.0,9,29.0,0.0,73.0,14.0,12.0,17.0,9.0,10,2,58.0,48.1
2019-04-27,21:00,Série A,Matchweek 1,Sat,Home,W,3,1,Cruzeiro,2.5,0.4,58.0,35016.0,Everton Ribeiro,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2019,brasileirao,24,2019 Flamengo,17,5,29.4,0.18,0.6,15.1,1,0,0.0,0.9,-0.1,481.0,580.0,82.9,7882.0,2717.0,2,1.9,1.0,4.0,63.0,12.0,52.0,3.0,28,1.0,6.0,31.0,5.0,14.0,9,6.0,0.0,9.0,17,9.0,0.0,201.0,14.0,17.0,11.0,11.0,13,0,45.0,56.8
2019-05-01,16:00,Série A,Matchweek 2,Wed,Away,L,1,2,Internacional,0.9,1.4,54.0,37001.0,Everton Ribeiro,4-2-3-1,4-3-3,Flavio Rodrigues De Souza,Match Report,,2019,brasileirao,24,2019 Flamengo,11,5,45.5,0.09,0.2,19.4,7,5,71.4,1.1,-0.9,437.0,551.0,79.3,7612.0,2803.0,1,0.8,0.7,2.0,66.0,9.0,37.0,6.0,14,1.0,5.0,19.0,2.0,25.0,14,10.0,0.0,7.0,13,17.0,1.0,162.0,18.0,15.0,12.0,10.0,9,3,58.0,53.1
2019-05-05,16:00,Série A,Matchweek 3,Sun,Away,D,1,1,São Paulo,1.2,1.9,36.0,38749.0,Diego,4-1-4-1,4-3-3,Ricardo Marques Ribeiro,Match Report,,2019,brasileirao,24,2019 Flamengo,9,1,11.1,0.11,1.0,18.0,11,10,90.9,2.4,1.4,195.0,284.0,68.7,3828.0,1669.0,1,1.3,0.2,0.0,17.0,8.0,17.0,2.0,4,0.0,2.0,16.0,1.0,17.0,10,10.0,3.0,9.0,5,29.0,2.0,75.0,8.0,5.0,11.0,7.0,15,2,41.0,37.0
2019-05-08,21:30,Libertadores,Group stage,Wed,Away,D,0,0,uy Peñarol,1.5,0.8,50.0,,Everton Ribeiro,4-2-3-1,4-2-3-1,Roberto Tobar,Match Report,,2019,brasileirao,24,2019 Flamengo,11,4,36.4,0.0,0.0,24.3,2,2,100.0,0.2,0.2,399.0,515.0,77.5,7151.0,2614.0,0,1.4,1.3,1.0,39.0,9.0,25.0,2.0,7,4.0,2.0,18.0,0.0,18.0,11,6.0,2.0,11.0,8,33.0,1.0,108.0,21.0,12.0,10.0,7.0,10,2,70.0,43.6
2019-05-12,11:00,Série A,Matchweek 4,Sun,Home,W,2,1,Chapecoense,2.9,1.3,56.0,61023.0,Diego,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,2019,brasileirao,24,2019 Flamengo,18,6,33.3,0.11,0.33,18.4,7,6,85.7,1.4,0.4,426.0,505.0,84.4,7709.0,2626.0,2,2.3,1.6,3.0,38.0,13.0,24.0,4.0,16,1.0,7.0,36.0,4.0,27.0,18,11.0,4.0,6.0,5,10.0,0.0,149.0,32.0,15.0,12.0,9.0,18,1,47.0,40.9
