Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes,season,league_name,league_id
1,Corinthians,38,21,9,8,50,30,20,72,1.89,38052,Jô - 18,Cássio,→ Copa Libertadores via league finish,2017,brasileirao,24
2,Palmeiras,38,19,6,13,61,45,16,63,1.66,28520,Dudu - 9,Fernando Prass,→ Copa Libertadores via league finish,2017,brasileirao,24
3,Santos,38,17,12,9,42,32,10,63,1.66,12304,"Ricardo Oliveira, Bruno Henrique - 8",Vanderlei,→ Copa Libertadores via league finish,2017,brasileirao,24
4,Grêmio,38,18,8,12,55,36,19,62,1.63,19921,Fernandinho - 9,Marcelo Grohe,→ Copa Libertadores,2017,brasileirao,24
5,Cruzeiro,38,15,12,11,47,39,8,57,1.5,17369,Thiago Neves - 11,Fábio,→ Copa Libertadores via cup win 1,2017,brasileirao,24
6,Flamengo,38,15,11,12,49,38,11,56,1.47,16486,Diego - 10,Diego Alves,→ Copa Libertadores via league finish,2017,brasileirao,24
7,Vasco da Gama,38,15,11,12,40,47,-7,56,1.47,13994,"Luís Fabiano, Nenê - 5",Martín Silva,→ Copa Libertadores via league finish,2017,brasileirao,24
8,Chapecoense,38,15,9,14,47,49,-2,54,1.42,10188,Wellington Paulista - 9,Jandrei,→ Copa Libertadores via league finish,2017,brasileirao,24
9,Atlético Mineiro,38,14,12,12,52,49,3,54,1.42,15850,Fred - 12,Victor Leandro Bagy,→ Copa Sudamericana via league finish,2017,brasileirao,24
10,Botafogo (RJ),38,14,11,13,45,42,3,53,1.39,11661,Roger - 10,Gatito Fernández,→ Copa Sudamericana via league finish,2017,brasileirao,24
11,Ath Paranaense,38,14,9,15,45,43,2,51,1.34,13856,Sidcley - 6,Wéverton,→ Copa Sudamericana via league finish,2017,brasileirao,24
12,Bahia,38,13,11,14,50,48,2,50,1.32,21541,Edigar Junio - 12,Jean,→ Copa Sudamericana via league finish,2017,brasileirao,24
13,São Paulo,38,13,11,14,48,49,-1,50,1.32,35880,Hernanes - 9,Renan Ribeiro,→ Copa Sudamericana via league finish,2017,brasileirao,24
14,Fluminense,38,11,14,13,50,53,-3,47,1.24,16253,Henrique Dourado - 18,Júlio César,→ Copa Sudamericana via league finish,2017,brasileirao,24
15,Sport Recife,38,12,9,17,46,58,-12,45,1.18,14457,André - 16,Magrão,,2017,brasileirao,24
16,Vitória,38,11,10,17,50,58,-8,43,1.13,11079,Santiago Tréllez - 10,Fernando Miguel,,2017,brasileirao,24
17,Coritiba,38,11,10,17,42,51,-9,43,1.13,13946,Henrique Almeida - 7,Wilson,Relegated,2017,brasileirao,24
18,Avaí,38,10,13,15,29,48,-19,43,1.13,7801,Junior Dutra - 9,Douglas Friedrich,Relegated,2017,brasileirao,24
19,Ponte Preta,38,10,9,19,37,52,-15,39,1.03,6632,Lucca - 13,Aranha,Relegated,2017,brasileirao,24
20,Atl Goianiense,38,9,9,20,38,56,-18,36,0.95,6434,Luiz Fernando - 9,Felipe Garcia,Relegated,2017,brasileirao,24
