Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Cássio,br BRA,GK,29.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017,brasileirao,24,2017 Corinthians
Jô,br BRA,FW,29.0,34,34,3018.0,33.5,18.0,3.0,21.0,17.0,1.0,2.0,5.0,0.0,0.54,0.09,0.63,0.51,0.6,Matches,2017,brasileirao,24,2017 Corinthians
Gabriel,br BRA,MF,24.0,33,33,2609.0,29.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches,2017,brasileirao,24,2017 Corinthians
Fabián Balbuena,py PAR,DF,25.0,32,32,2842.0,31.6,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,0.13,0.03,0.16,0.13,0.16,Matches,2017,brasileirao,24,2017 Corinthians
Guilherme Arana,br BRA,DF,19.0,32,32,2826.0,31.4,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches,2017,brasileirao,24,2017 Corinthians
Rodriguinho Marinho,br BRA,MF,28.0,32,32,2789.0,31.0,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,0.1,0.19,0.29,0.1,0.29,Matches,2017,brasileirao,24,2017 Corinthians
Maycon,br BRA,MF,19.0,36,32,2768.0,30.8,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,2017,brasileirao,24,2017 Corinthians
Fagner,br BRA,DF,27.0,31,31,2790.0,31.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2017,brasileirao,24,2017 Corinthians
Ángel Romero,py PAR,MF,24.0,30,29,2473.0,27.5,3.0,3.0,6.0,3.0,0.0,0.0,12.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,2017,brasileirao,24,2017 Corinthians
Jádson,br BRA,MF,33.0,29,25,1928.0,21.4,6.0,2.0,8.0,4.0,2.0,2.0,3.0,0.0,0.28,0.09,0.37,0.19,0.28,Matches,2017,brasileirao,24,2017 Corinthians
Pablo,br BRA,DF,25.0,24,24,2017.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017,brasileirao,24,2017 Corinthians
Pedro Henrique,br BRA,DF,21.0,22,19,1853.0,20.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2017,brasileirao,24,2017 Corinthians
Clayson,br BRA,MF,21.0,29,12,1349.0,15.0,4.0,6.0,10.0,3.0,1.0,1.0,6.0,0.0,0.27,0.4,0.67,0.2,0.6,Matches,2017,brasileirao,24,2017 Corinthians
Marquinhos Gabriel,br BRA,MF,26.0,25,10,1136.0,12.6,3.0,3.0,6.0,3.0,0.0,0.0,6.0,0.0,0.24,0.24,0.48,0.24,0.48,Matches,2017,brasileirao,24,2017 Corinthians
Guilherme Camacho,br BRA,MF,26.0,27,9,933.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017,brasileirao,24,2017 Corinthians
Colin Kazim-Richards,tr TUR,FW,30.0,14,4,402.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,2017,brasileirao,24,2017 Corinthians
Paulo Roberto,br BRA,"DF,MF",29.0,8,4,399.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,2017,brasileirao,24,2017 Corinthians
Léo Príncipe,br BRA,DF,20.0,5,4,369.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017,brasileirao,24,2017 Corinthians
Giovanni Augusto,br BRA,MF,27.0,11,3,418.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.22,0.22,0.43,0.22,0.43,Matches,2017,brasileirao,24,2017 Corinthians
