Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes,season,league_name,league_id
1,Cruzeiro,38,24,8,6,67,38,29,80,2.11,29678,"Marcelo Martins Moreno, Ricardo Goulart - 15",Fábio,→ Copa Libertadores via league finish,2014,brasileirao,24
2,São Paulo,38,20,10,8,59,40,19,70,1.84,28544,"Luís Fabiano, Alexandre Pato - 9",Rogério Ceni,→ Copa Libertadores via league finish,2014,brasileirao,24
3,Internacional,38,21,6,11,53,41,12,69,1.82,22318,Rafael Moura - 8,Dida,→ Copa Libertadores via league finish,2014,brasileirao,24
4,Corinthians,38,19,12,7,49,31,18,69,1.82,29013,Paolo Guerrero - 12,Cássio,→ Copa Libertadores via league finish,2014,brasileirao,24
5,Atlético Mineiro,38,17,11,10,51,38,13,62,1.63,14132,Diego Tardelli - 10,Victor Leandro Bagy,→ Copa Libertadores via cup win 1,2014,brasileirao,24
6,Fluminense,38,17,10,11,61,42,19,61,1.61,21272,Fred - 18,Diego Cavalieri,,2014,brasileirao,24
7,Grêmio,38,17,10,11,36,24,12,61,1.61,21028,Hernán Barcos - 14,Marcelo Grohe,,2014,brasileirao,24
8,Ath Paranaense,38,15,9,14,43,42,1,54,1.42,12237,Cléo - 9,Wéverton,,2014,brasileirao,24
9,Santos,38,15,8,15,42,35,7,53,1.39,9243,Gabriel Barbosa - 8,Aranha,,2014,brasileirao,24
10,Flamengo,38,14,10,14,46,47,-1,52,1.37,30519,Eduardo da Silva - 8,Paulo Victor Vidotti,,2014,brasileirao,24
11,Sport Recife,38,14,10,14,36,46,-10,52,1.37,18220,Patric Cabral Lalau - 7,Magrão,,2014,brasileirao,24
12,Goiás,38,13,8,17,38,40,-2,47,1.24,6958,Erik Lima - 12,Renan Brito Soares,,2014,brasileirao,24
13,Figueirense,38,13,8,17,37,47,-10,47,1.24,8378,Everaldo Stum - 6,Tiago Volpi,,2014,brasileirao,24
14,Coritiba,38,12,11,15,42,45,-3,47,1.24,11865,Diederrick Joel - 8,Vanderlei,,2014,brasileirao,24
15,Chapecoense,38,11,10,17,39,44,-5,43,1.13,9994,Leandro Pereira - 10,Danilo,,2014,brasileirao,24
16,Palmeiras,38,11,7,20,34,59,-25,40,1.05,19755,Henrique Dourado - 13,Fábio Szymonek,,2014,brasileirao,24
17,Vitória,38,10,8,20,37,54,-17,38,1.0,10267,Dinei - 9,Wilson,Relegated,2014,brasileirao,24
18,Bahia,38,9,10,19,31,43,-12,37,0.97,12579,Kieza - 6,Marcelo Lomba,Relegated,2014,brasileirao,24
19,Botafogo (RJ),38,9,7,22,31,48,-17,34,0.89,12483,"Pablo Zeballos, Emerson Sheik - 6",Jefferson,Relegated,2014,brasileirao,24
20,Criciúma,38,7,11,20,28,56,-28,32,0.84,9104,Lucca - 5,Bruno Brigido,Relegated,2014,brasileirao,24
