Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Romulo,br BRA,"FW,MF",23-015,8,1,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,4.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.04,0.22,0.26,0.04,0.26,Matches,2024,brasileirao,24,Palmeiras
Jhonatan Jowjow,br BRA,MF,22-043,3,1,142.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.7,4.0,9.0,12.0,0.0,0.63,0.63,0.0,0.63,0.34,0.07,0.41,0.34,0.41,Matches,2024,brasileirao,24,Palmeiras
Marcelo Lomba,br BRA,GK,37-309,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,brasileirao,24,Palmeiras
Luighi,br BRA,"MF,FW",18-175,3,0,21.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1.2,1.0,0.0,4.0,4.29,0.0,4.29,4.29,4.29,5.15,0.0,5.15,5.15,5.15,Matches,2024,brasileirao,24,Palmeiras
García,br BRA,"MF,FW",22-292,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,brasileirao,24,Palmeiras
Deivid Andrade,br BRA,GK,19-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Luis Benedetti,br BRA,DF,18-137,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Breno,br BRA,"FW,MF",28-272,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Figueiredo,br BRA,MF,18-233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Mateus,br BRA,GK,22-173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Michel,br BRA,DF,21-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Patrick Silva,br BRA,MF,20-217,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Palmeiras
Squad Total,,,27.3,30,330,2700.0,30.0,49.0,32.0,81.0,43.0,6.0,7.0,73.0,4.0,53.2,48.2,38.7,86.8,509.0,1336.0,1318.0,1.63,1.07,2.7,1.43,2.5,1.77,1.29,3.06,1.61,2.89,,2024,brasileirao,24,Palmeiras
Opponent Total,,,28.4,30,330,2700.0,30.0,22.0,17.0,39.0,21.0,1.0,2.0,87.0,6.0,28.8,27.3,22.0,49.3,411.0,928.0,918.0,0.73,0.57,1.3,0.7,1.27,0.96,0.73,1.7,0.91,1.64,,2024,brasileirao,24,Palmeiras
João Ricardo Riedi,br BRA,GK,36-046,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,brasileirao,24,Fortaleza
Emanuel Brítez,ar ARG,DF,32-210,23,23,1983.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,1.9,3.0,11.0,52.0,15.0,0.0,0.09,0.09,0.0,0.09,0.05,0.09,0.13,0.05,0.13,Matches,2024,brasileirao,24,Fortaleza
Hércules,br BRA,MF,24-002,24,22,1707.0,19.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,2.0,0.8,0.8,1.2,1.9,22.0,80.0,51.0,0.16,0.05,0.21,0.16,0.21,0.04,0.06,0.1,0.04,0.1,Matches,2024,brasileirao,24,Fortaleza
Breno,br BRA,FW,28-272,25,21,1681.0,18.7,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,4.1,4.1,1.3,5.3,74.0,39.0,135.0,0.21,0.16,0.37,0.21,0.37,0.22,0.07,0.29,0.22,0.29,Matches,2024,brasileirao,24,Fortaleza
Guilherme Tinga,br BRA,DF,31-051,25,20,1862.0,20.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.8,1.8,1.4,3.2,29.0,94.0,61.0,0.05,0.0,0.05,0.05,0.05,0.09,0.07,0.15,0.09,0.15,Matches,2024,brasileirao,24,Fortaleza
Juan Martín Lucero,ar ARG,FW,32-327,24,18,1585.0,17.6,8.0,2.0,10.0,6.0,2.0,2.0,7.0,0.0,5.3,3.7,1.2,4.9,8.0,13.0,65.0,0.45,0.11,0.57,0.34,0.45,0.3,0.07,0.37,0.21,0.28,Matches,2024,brasileirao,24,Fortaleza
Yago Pikachu,br BRA,"FW,MF",32-139,26,17,1470.0,16.3,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,3.3,3.3,1.9,5.3,24.0,54.0,105.0,0.12,0.24,0.37,0.12,0.37,0.2,0.12,0.32,0.2,0.32,Matches,2024,brasileirao,24,Fortaleza
Tomas Pochettino,ar ARG,MF,28-264,24,17,1405.0,15.6,5.0,5.0,10.0,5.0,0.0,1.0,3.0,0.0,2.9,2.0,3.9,5.9,40.0,75.0,95.0,0.32,0.32,0.64,0.32,0.64,0.19,0.25,0.44,0.13,0.38,Matches,2024,brasileirao,24,Fortaleza
Felipe Jonatan,br BRA,DF,26-250,19,16,1414.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.0,13.0,54.0,45.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,2024,brasileirao,24,Fortaleza
Titi,br BRA,DF,36-224,16,16,1390.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,0.5,0.7,4.0,32.0,0.0,0.06,0.0,0.06,0.06,0.06,0.01,0.03,0.05,0.01,0.05,Matches,2024,brasileirao,24,Fortaleza
Tomás Cardona,ar ARG,DF,29-012,16,15,1349.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,11.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2024,brasileirao,24,Fortaleza
Benjamín Kuscevic,cl CHI,DF,28-173,15,14,1228.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,0.1,1.0,2.0,23.0,5.0,0.07,0.0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07,Matches,2024,brasileirao,24,Fortaleza
Lucas Sasha,br BRA,MF,34-235,20,12,1210.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.6,2.2,7.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches,2024,brasileirao,24,Fortaleza
Pedro Borges,br BRA,MF,27-233,26,12,1160.0,12.9,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,0.2,0.3,2.0,51.0,9.0,0.0,0.08,0.08,0.0,0.08,0.01,0.02,0.03,0.01,0.03,Matches,2024,brasileirao,24,Fortaleza
Bruno Pacheco,br BRA,DF,32-319,18,12,1144.0,12.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,19.0,35.0,15.0,0.08,0.0,0.08,0.08,0.08,0.03,0.03,0.07,0.03,0.07,Matches,2024,brasileirao,24,Fortaleza
Renato Kayser,br BRA,FW,28-248,25,12,1073.0,11.9,4.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,5.5,4.7,1.2,5.9,20.0,23.0,39.0,0.34,0.08,0.42,0.25,0.34,0.46,0.1,0.56,0.39,0.49,Matches,2024,brasileirao,24,Fortaleza
Matheus Rossetto,br BRA,MF,28-141,15,12,987.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,23.0,63.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2024,brasileirao,24,Fortaleza
Marinho,br BRA,FW,34-146,16,9,805.0,8.9,3.0,2.0,5.0,3.0,0.0,0.0,3.0,1.0,1.2,1.2,1.5,2.7,32.0,34.0,66.0,0.34,0.22,0.56,0.34,0.56,0.14,0.17,0.31,0.14,0.31,Matches,2024,brasileirao,24,Fortaleza
José Welison,br BRA,MF,29-225,16,9,754.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.7,0.8,6.0,35.0,8.0,0.0,0.12,0.12,0.0,0.12,0.01,0.08,0.09,0.01,0.09,Matches,2024,brasileirao,24,Fortaleza
Moises,br BRA,FW,28-050,18,6,685.0,7.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.2,3.2,2.3,5.4,41.0,18.0,65.0,0.26,0.13,0.39,0.26,0.39,0.41,0.3,0.72,0.41,0.72,Matches,2024,brasileirao,24,Fortaleza
Leandro Emmanuel Martínez,ar ARG,"MF,FW",30-140,12,5,523.0,5.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,1.1,7.0,27.0,23.0,0.0,0.34,0.34,0.0,0.34,0.09,0.09,0.18,0.09,0.18,Matches,2024,brasileirao,24,Fortaleza
Imanol Machuca,ar ARG,"FW,MF",24-281,15,4,436.0,4.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.9,25.0,14.0,34.0,0.21,0.21,0.41,0.21,0.41,0.17,0.21,0.39,0.17,0.39,Matches,2024,brasileirao,24,Fortaleza
