Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Fábio,br BRA,GK,33.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Everton Ribeiro,br BRA,"FW,MF",24.0,31,30,2581.0,28.7,6.0,9.0,15.0,5.0,1.0,1.0,4.0,0.0,0.21,0.31,0.52,0.17,0.49,Matches,2014,brasileirao,24,2014 Cruzeiro
Egídio Pereira Júnior,br BRA,DF,27.0,31,30,2543.0,28.3,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.04,0.11,0.14,0.04,0.14,Matches,2014,brasileirao,24,2014 Cruzeiro
Léo,br BRA,DF,26.0,29,29,2610.0,29.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2014,brasileirao,24,2014 Cruzeiro
Marcelo Martins Moreno,bo BOL,FW,26.0,32,29,2498.0,27.8,15.0,3.0,18.0,14.0,1.0,1.0,0.0,1.0,0.54,0.11,0.65,0.5,0.61,Matches,2014,brasileirao,24,2014 Cruzeiro
Henrique Pacheco Lima,br BRA,MF,28.0,30,28,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2014,brasileirao,24,2014 Cruzeiro
Mayke,br BRA,"DF,MF",21.0,30,25,2376.0,26.4,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,2014,brasileirao,24,2014 Cruzeiro
Ricardo Goulart,br BRA,"FW,MF",22.0,26,25,2227.0,24.7,15.0,2.0,17.0,15.0,0.0,0.0,4.0,0.0,0.61,0.08,0.69,0.61,0.69,Matches,2014,brasileirao,24,2014 Cruzeiro
Lucas Silva,br BRA,MF,20.0,27,25,2006.0,22.3,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.04,0.04,0.09,0.0,0.04,Matches,2014,brasileirao,24,2014 Cruzeiro
Dedé,br BRA,DF,25.0,21,21,1845.0,20.5,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,2014,brasileirao,24,2014 Cruzeiro
Nílton,br BRA,MF,26.0,26,16,1648.0,18.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,2014,brasileirao,24,2014 Cruzeiro
Marquinhos,br BRA,"DF,FW",24.0,18,16,1161.0,12.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.31,0.08,0.39,0.31,0.39,Matches,2014,brasileirao,24,2014 Cruzeiro
Willian,br BRA,"FW,MF",27.0,27,15,1457.0,16.2,2.0,6.0,8.0,2.0,0.0,1.0,4.0,0.0,0.12,0.37,0.49,0.12,0.49,Matches,2014,brasileirao,24,2014 Cruzeiro
Ceará,br BRA,DF,33.0,17,14,1249.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2014,brasileirao,24,2014 Cruzeiro
Manoel,br BRA,DF,23.0,13,12,1125.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2014,brasileirao,24,2014 Cruzeiro
Bruno Rodrigo,br BRA,DF,28.0,11,11,990.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2014,brasileirao,24,2014 Cruzeiro
Alisson,br BRA,"FW,MF",20.0,15,7,750.0,8.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.36,0.12,0.48,0.36,0.48,Matches,2014,brasileirao,24,2014 Cruzeiro
Marlone,br BRA,MF,21.0,13,7,648.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2014,brasileirao,24,2014 Cruzeiro
Júlio Baptista,br BRA,"FW,MF",32.0,14,7,567.0,6.3,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,0.63,0.0,0.63,0.48,0.48,Matches,2014,brasileirao,24,2014 Cruzeiro
Miguel Samudio,py PAR,DF,27.0,9,6,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Willian Farias,br BRA,MF,24.0,14,5,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Humberlito Borges,br BRA,FW,33.0,10,5,475.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches,2014,brasileirao,24,2014 Cruzeiro
Dagoberto,br BRA,"FW,MF",30.0,21,3,633.0,7.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.43,0.14,0.57,0.43,0.57,Matches,2014,brasileirao,24,2014 Cruzeiro
Wallace,br BRA,DF,19.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Souza,br BRA,"DF,MF",25.0,5,3,266.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.34,0.34,0.68,0.0,0.34,Matches,2014,brasileirao,24,2014 Cruzeiro
Tinga,br BRA,MF,36.0,6,3,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Luan,br BRA,"FW,MF",25.0,4,2,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Eurico,br BRA,MF,19.0,3,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Elisson,br BRA,GK,26.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Rafael Pires,br BRA,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Neílton,br BRA,"FW,MF",19.0,1,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Bruno Ramires,br BRA,"DF,MF",19.0,1,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Judivan,br BRA,"FW,MF",18.0,2,0,56.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,1.61,0.0,1.61,Matches,2014,brasileirao,24,2014 Cruzeiro
Breno Lopes,br BRA,DF,23.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Élber,br BRA,"FW,MF",21.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014,brasileirao,24,2014 Cruzeiro
Hugo Ragelli,br BRA,FW,18.0,1,0,19.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.74,0.0,4.74,4.74,4.74,Matches,2014,brasileirao,24,2014 Cruzeiro
