Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2016-02-16,20:45,Libertadores,Second stage,Tue,Away,D,2,2,uy River Plate,,,,4-3-1-2,4-3-3,Julio Bascuñán,Match Report,,2016,brasileirao,24,2016 Palmeiras,0.0,0.0,,,,
2016-03-03,21:45,Libertadores,Second stage,Thu,Home,W,2,0,ar Rosario Central,,,,4-2-3-1,4-2-3-1,Enrique Cáceres,Match Report,,2016,brasileirao,24,2016 Palmeiras,0.0,0.0,,,,
2016-03-09,21:45,Libertadores,Second stage,Wed,Home,L,1,2,uy Nacional,,,,4-2-3-1,4-2-2-2,Enrique Osses,Match Report,,2016,brasileirao,24,2016 Palmeiras,0.0,0.0,,,,
2016-03-17,21:45,Libertadores,Second stage,Thu,Away,L,0,1,uy Nacional,,,,4-2-3-1,4-4-1-1,Luis Cordero,Match Report,,2016,brasileirao,24,2016 Palmeiras,0.0,0.0,,,,
2016-04-06,21:45,Libertadores,Second stage,Wed,Away,D,3,3,ar Rosario Central,,,,3-4-1-2,4-1-2-1-2,Juan Bravo,Match Report,,2016,brasileirao,24,2016 Palmeiras,0.0,0.0,,,,
2016-04-14,21:45,Libertadores,Second stage,Thu,Home,W,4,0,uy River Plate,,,,4-2-3-1,4-3-1-2,Óscar Maldonado,Match Report,,2016,brasileirao,24,2016 Palmeiras,0.0,0.0,,,,
2016-05-14,16:00,Série A,Matchweek 1,Sat,Home,W,4,0,Ath Paranaense,65.0,32629.0,,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,2016,brasileirao,24,2016 Palmeiras,14.0,7.0,50.0,0.29,0.57,
2016-05-21,16:00,Série A,Matchweek 2,Sat,Away,L,1,2,Ponte Preta,65.0,7061.0,,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2016,brasileirao,24,2016 Palmeiras,11.0,5.0,45.5,0.09,0.2,
2016-05-25,21:45,Série A,Matchweek 3,Wed,Home,W,2,0,Fluminense,52.0,28534.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,,2016,brasileirao,24,2016 Palmeiras,15.0,7.0,46.7,0.13,0.29,
2016-05-29,16:00,Série A,Matchweek 4,Sun,Away,L,0,1,São Paulo,54.0,21016.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2016,brasileirao,24,2016 Palmeiras,8.0,4.0,50.0,0.0,0.0,
2016-06-02,21:00,Série A,Matchweek 5,Thu,Home,W,4,3,Grêmio,45.0,19198.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,2016,brasileirao,24,2016 Palmeiras,16.0,8.0,50.0,0.25,0.5,
2016-06-05,16:00,Série A,Matchweek 6,Sun,Away,W,2,1,Flamengo,61.0,54665.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Palmeiras,15.0,4.0,26.7,0.07,0.25,
2016-06-12,16:00,Série A,Matchweek 7,Sun,Home,W,1,0,Corinthians,50.0,39935.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2016,brasileirao,24,2016 Palmeiras,16.0,5.0,31.3,0.06,0.2,
2016-06-15,21:45,Série A,Matchweek 8,Wed,Away,D,2,2,Coritiba,60.0,12794.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2016,brasileirao,24,2016 Palmeiras,9.0,3.0,33.3,0.22,0.67,
2016-06-18,16:00,Série A,Matchweek 9,Sat,Home,W,3,1,Santa Cruz,59.0,34162.0,,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2016,brasileirao,24,2016 Palmeiras,21.0,9.0,42.9,0.14,0.33,
2016-06-21,21:30,Série A,Matchweek 10,Tue,Home,W,2,0,América (MG),68.0,27429.0,,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,2016,brasileirao,24,2016 Palmeiras,19.0,9.0,47.4,0.11,0.22,
