Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Andrigo,br BRA,"MF,DF",22.0,17,9,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Anselmo de Moraes,br BRA,MF,28.0,8,8,720.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.25,0.12,0.37,0.25,0.37,Matches,2018,brasileirao,24,2018 Sport Recife
Durval,br BRA,DF,37.0,9,8,694.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Leo Ortiz,br BRA,DF,22.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Morato,br BRA,MF,25.0,7,4,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Matheus Ferreira,br BRA,MF,24.0,7,4,244.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Carlos Henrique,br BRA,FW,22.0,15,2,431.0,4.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,2018,brasileirao,24,2018 Sport Recife
Matheus Peixoto,br BRA,FW,22.0,8,2,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Evandro,br BRA,DF,21.0,2,2,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Hygor,br BRA,FW,25.0,5,1,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Everton Felipe,br BRA,MF,20.0,6,1,171.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,Matches,2018,brasileirao,24,2018 Sport Recife
Fabrício,br BRA,DF,19.0,3,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Agenor Detofol,br BRA,GK,28.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
