Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2017-04-05,21:45,Sudamericana,First stage,Wed,Home,W,2,0,cl U de Chile,,25000.0,Fabián Balbuena,4-5-1,4-3-3,Darío Herrera,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Corinthians,0,0,,,,
2017-05-10,21:45,Sudamericana,First stage,Wed,Away,W,2,1,cl U de Chile,,,Fabián Balbuena,4-2-3-1,4-3-3,Daniel Fedorczuk,Match Report,Leg 2 of 2; Corinthians won,2017,brasileirao,24,2017 Corinthians,0,0,,,,
2017-05-13,19:00,Série A,Matchweek 1,Sat,Home,D,1,1,Chapecoense,67.0,31470.0,Rodriguinho Marinho,4-1-4-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2017,brasileirao,24,2017 Corinthians,5,2,40.0,0.2,0.5,
2017-05-21,16:00,Série A,Matchweek 2,Sun,Away,W,1,0,Vitória,53.0,16515.0,Jádson,4-1-4-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Corinthians,12,4,33.3,0.08,0.25,
2017-05-28,16:00,Série A,Matchweek 3,Sun,Away,W,1,0,Atl Goianiense,52.0,15220.0,Fagner,4-1-4-1,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,,2017,brasileirao,24,2017 Corinthians,14,8,57.1,0.07,0.13,
2017-06-03,19:00,Série A,Matchweek 4,Sat,Home,W,2,0,Santos,50.0,40169.0,Jô,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Corinthians,18,4,22.2,0.11,0.5,
2017-06-07,21:45,Série A,Matchweek 5,Wed,Away,W,5,2,Vasco da Gama,43.0,16288.0,Jádson,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Corinthians,10,6,60.0,0.5,0.83,
2017-06-11,16:00,Série A,Matchweek 6,Sun,Home,W,3,2,São Paulo,55.0,42443.0,Cássio,4-2-3-1,3-1-4-2,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Corinthians,11,6,54.5,0.18,0.33,
2017-06-14,21:45,Série A,Matchweek 7,Wed,Home,W,1,0,Cruzeiro,52.0,30465.0,Fabián Balbuena,4-2-3-1,4-3-2-1,Leandro Pedro Vuaden,Match Report,,2017,brasileirao,24,2017 Corinthians,7,3,42.9,0.14,0.33,
2017-06-18,11:00,Série A,Matchweek 8,Sun,Away,D,0,0,Coritiba,54.0,19534.0,Rodriguinho Marinho,4-2-3-1,4-3-3,Marcelo de Lima Henrique,Match Report,,2017,brasileirao,24,2017 Corinthians,5,0,0.0,0.0,,
2017-06-22,19:30,Série A,Matchweek 9,Thu,Home,W,3,0,Bahia,49.0,34250.0,Fagner,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Corinthians,15,5,33.3,0.2,0.6,
2017-06-25,16:00,Série A,Matchweek 10,Sun,Away,W,1,0,Grêmio,43.0,50116.0,Jô,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2017,brasileirao,24,2017 Corinthians,5,3,60.0,0.2,0.33,
2017-06-28,19:45,Sudamericana,Second stage,Wed,Away,D,1,1,co Boyacá Patriot,55.0,,Fabián Balbuena,4-1-4-1,4-4-2,Mario Díaz de Vivar,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Corinthians,9,4,44.4,0.11,0.25,
2017-07-02,16:00,Série A,Matchweek 11,Sun,Home,W,1,0,Botafogo (RJ),66.0,40341.0,Cássio,4-2-3-1,4-1-4-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Corinthians,18,9,50.0,0.06,0.11,
2017-07-08,19:00,Série A,Matchweek 12,Sat,Home,W,2,0,Ponte Preta,49.0,32877.0,Jádson,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Corinthians,13,8,61.5,0.15,0.25,
2017-07-12,21:45,Série A,Matchweek 13,Wed,Away,W,2,0,Palmeiras,39.0,39091.0,Fagner,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2017,brasileirao,24,2017 Corinthians,3,2,66.7,0.33,0.5,
2017-07-15,19:00,Série A,Matchweek 14,Sat,Home,D,2,2,Ath Paranaense,63.0,41201.0,Jô,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Corinthians,19,9,47.4,0.11,0.22,
2017-07-19,21:00,Série A,Matchweek 15,Wed,Away,D,0,0,Avaí,73.0,10671.0,Rodriguinho Marinho,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2017,brasileirao,24,2017 Corinthians,22,7,31.8,0.0,0.0,
2017-07-23,16:00,Série A,Matchweek 16,Sun,Away,W,1,0,Fluminense,45.0,23863.0,Cássio,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Corinthians,12,1,8.3,0.08,1.0,
2017-07-26,21:45,Sudamericana,Second stage,Wed,Home,W,2,0,co Boyacá Patriot,57.0,,Cássio,4-2-3-1,4-2-3-1,Roberto Tobar,Match Report,Leg 2 of 2; Corinthians won,2017,brasileirao,24,2017 Corinthians,9,2,22.2,0.22,1.0,
2017-07-30,16:00,Série A,Matchweek 17,Sun,Home,D,1,1,Flamengo,41.0,44682.0,Jô,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Corinthians,8,3,37.5,0.13,0.33,
2017-08-02,21:00,Série A,Matchweek 18,Wed,Away,W,2,0,Atlético Mineiro,43.0,45283.0,Cássio,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Corinthians,12,4,33.3,0.17,0.5,
2017-08-05,19:00,Série A,Matchweek 19,Sat,Home,W,3,1,Sport Recife,44.0,4129.0,Fagner,4-2-3-1,4-4-1-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Corinthians,10,4,40.0,0.3,0.75,
2017-08-19,16:00,Série A,Matchweek 21,Sat,Home,L,0,1,Vitória,73.0,42075.0,Jô,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2017,brasileirao,24,2017 Corinthians,16,5,31.3,0.0,0.0,
2017-08-23,19:30,Série A,Matchweek 20,Wed,Away,W,1,0,Chapecoense,65.0,15831.0,Cássio,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,2017,brasileirao,24,2017 Corinthians,7,2,28.6,0.14,0.5,
2017-08-26,19:00,Série A,Matchweek 22,Sat,Home,L,0,1,Atl Goianiense,68.0,40581.0,Fagner,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Corinthians,31,7,22.6,0.0,0.0,
2017-09-10,16:00,Série A,Matchweek 23,Sun,Away,L,0,2,Santos,56.0,12567.0,Jádson,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2017,brasileirao,24,2017 Corinthians,14,4,28.6,0.0,0.0,
2017-09-13,21:45,Sudamericana,Round of 16,Wed,Home,D,1,1,ar Racing Club,52.0,,Fabián Balbuena,4-2-3-1,5-3-2,Eber Aguino,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Corinthians,12,5,41.7,0.08,0.2,
2017-09-17,16:00,Série A,Matchweek 24,Sun,Home,W,1,0,Vasco da Gama,57.0,41235.0,Jô,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2017,brasileirao,24,2017 Corinthians,17,4,23.5,0.06,0.25,
2017-09-20,21:45,Sudamericana,Round of 16,Wed,Away,D,0,0,ar Racing Club,56.0,,Fabián Balbuena,4-2-3-1,5-3-2,Leodán González,Match Report,Leg 2 of 2; Racing Club won,2017,brasileirao,24,2017 Corinthians,4,0,0.0,0.0,,
2017-09-24,11:00,Série A,Matchweek 25,Sun,Away,D,1,1,São Paulo,52.0,61142.0,Pablo,4-2-3-1,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Corinthians,11,2,18.2,0.09,0.5,
2017-10-01,16:00,Série A,Matchweek 26,Sun,Away,D,1,1,Cruzeiro,58.0,15727.0,Cássio,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Corinthians,9,4,44.4,0.0,0.0,
2017-10-11,21:00,Série A,Matchweek 27,Wed,Home,W,3,1,Coritiba,57.0,36439.0,Fabián Balbuena,4-2-3-1,4-1-4-1,Claudio Francisco Lima e Silva,Match Report,,2017,brasileirao,24,2017 Corinthians,16,5,31.3,0.19,0.6,
2017-10-15,18:00,Série A,Matchweek 28,Sun,Away,L,0,2,Bahia,53.0,23413.0,Fabián Balbuena,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Corinthians,8,3,37.5,0.0,0.0,
