Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2022-04-06,20:00,Libertadores,Group stage,Wed,Away,W,4,0,ve Dep Táchira,2.5,0.9,50.0,,Gustavo Gómez,4-3-3,3-5-1-1,Darío Herrera,Match Report,,2022,brasileirao,24,2022 Palmeiras,21,5,23.8,0.19,0.8,16.9,2,2,100.0,0.5,0.5,385.0,477.0,80.7,6825.0,2646.0,4,2.1,1.8,2.0,29.0,15.0,21.0,4.0,11,1.0,7.0,37.0,7.0,16.0,14,7.0,1.0,21.0,9,27.0,0.0,108.0,23.0,10.0,17.0,2.0,17,2,62.0,45.9
2022-04-09,21:00,Série A,Matchweek 1,Sat,Home,L,2,3,Ceará,2.5,1.5,56.0,27100.0,Gustavo Gómez,4-3-3,4-3-3,Caio Max Augusto Vieira,Match Report,,2022,brasileirao,24,2022 Palmeiras,16,3,18.8,0.06,0.33,17.1,8,6,62.5,1.8,-0.2,340.0,440.0,77.3,7117.0,2693.0,1,1.3,1.5,1.0,47.0,11.0,33.0,7.0,30,0.0,11.0,27.0,4.0,9.0,4,4.0,0.0,12.0,12,11.0,0.0,152.0,21.0,15.0,14.0,11.0,17,3,46.0,55.3
2022-04-12,21:30,Libertadores,Group stage,Tue,Home,W,8,1,bo Indep Petrolero,2.5,0.1,76.0,26409.0,Gustavo Gómez,4-2-3-1,3-4-3,Derlis López,Match Report,,2022,brasileirao,24,2022 Palmeiras,28,14,50.0,0.29,0.57,17.8,1,0,0.0,0.4,-0.6,458.0,545.0,84.0,9437.0,2864.0,5,1.9,1.8,7.0,71.0,23.0,56.0,10.0,38,1.0,13.0,52.0,15.0,14.0,9,4.0,2.0,8.0,7,2.0,0.0,219.0,39.0,25.0,13.0,7.0,7,3,52.0,52.8
2022-04-16,16:30,Série A,Matchweek 2,Sat,Away,D,1,1,Goiás,1.9,0.8,75.0,12864.0,Gustavo Gómez,4-2-3-1,4-3-3,Braulio da Silva Machado,Match Report,,2022,brasileirao,24,2022 Palmeiras,22,6,27.3,0.05,0.17,15.8,6,5,83.3,2.1,1.1,554.0,683.0,81.1,10388.0,3141.0,0,1.8,1.5,5.0,81.0,18.0,60.0,2.0,34,1.0,6.0,42.0,1.0,13.0,10,6.0,2.0,6.0,9,5.0,0.0,263.0,23.0,17.0,13.0,10.0,7,2,46.0,52.5
2022-04-20,19:30,Série A,Matchweek 4,Wed,Away,D,0,0,Flamengo,0.8,1.4,45.0,69997.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2022,brasileirao,24,2022 Palmeiras,10,2,20.0,0.0,0.0,22.4,2,2,100.0,0.5,0.5,299.0,397.0,75.3,5802.0,2143.0,0,0.6,0.6,0.0,27.0,6.0,26.0,4.0,13,0.0,6.0,14.0,0.0,25.0,17,12.0,6.0,7.0,14,22.0,0.0,99.0,11.0,7.0,12.0,14.0,21,1,54.0,50.0
2022-04-23,19:00,Série A,Matchweek 3,Sat,Home,W,3,0,Corinthians,1.5,0.2,44.0,23973.0,Gustavo Gómez,4-2-3-1,4-3-3,Anderson Daronco,Match Report,,2022,brasileirao,24,2022 Palmeiras,20,7,35.0,0.15,0.43,17.3,1,1,100.0,0.2,0.2,291.0,375.0,77.6,5745.0,2077.0,3,1.3,1.2,0.0,26.0,15.0,19.0,2.0,13,6.0,12.0,31.0,6.0,14.0,9,6.0,0.0,14.0,9,16.0,0.0,123.0,14.0,6.0,7.0,8.0,13,3,45.0,66.7
2022-04-27,19:00,Libertadores,Group stage,Wed,Away,W,3,1,ec CS Emelec,2.3,0.9,44.0,,Gustavo Gómez,4-3-3,4-3-3,Patricio Loustau,Match Report,,2022,brasileirao,24,2022 Palmeiras,13,6,46.2,0.23,0.5,15.8,4,3,75.0,0.4,-0.6,294.0,409.0,71.9,5932.0,2521.0,2,2.0,1.4,0.0,28.0,9.0,24.0,4.0,8,0.0,1.0,22.0,6.0,19.0,12,7.0,3.0,11.0,13,22.0,0.0,93.0,22.0,13.0,17.0,5.0,7,4,62.0,45.2
2022-05-03,20:30,Libertadores,Group stage,Tue,Away,W,5,0,bo Indep Petrolero,3.5,0.7,65.0,,Gustavo Gómez,4-2-3-1,4-4-2,Nicolás Lamolina,Match Report,,2022,brasileirao,24,2022 Palmeiras,21,8,38.1,0.19,0.5,17.4,6,6,100.0,0.7,0.7,491.0,580.0,84.7,9813.0,3997.0,4,2.4,2.6,3.0,59.0,17.0,45.0,6.0,16,6.0,7.0,40.0,9.0,10.0,8,3.0,0.0,7.0,7,12.0,0.0,150.0,20.0,7.0,14.0,5.0,19,6,50.0,63.6
2022-05-08,16:00,Série A,Matchweek 5,Sun,Home,D,1,1,Fluminense,2.1,0.7,50.0,28776.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,,2022,brasileirao,24,2022 Palmeiras,19,5,26.3,0.05,0.2,20.2,2,1,50.0,1.0,0.0,337.0,419.0,80.4,7122.0,1948.0,0,1.0,1.4,3.0,52.0,12.0,39.0,7.0,25,0.0,6.0,34.0,2.0,17.0,7,4.0,7.0,8.0,9,6.0,0.0,199.0,24.0,14.0,11.0,6.0,10,3,51.0,43.5
2022-05-14,16:30,Série A,Matchweek 6,Sat,Home,W,2,0,Red Bull Bragantino,1.8,0.4,49.0,36123.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,2022,brasileirao,24,2022 Palmeiras,13,6,46.2,0.08,0.17,18.5,2,2,100.0,0.0,0.0,340.0,442.0,76.9,6872.0,2473.0,1,0.6,0.3,1.0,29.0,6.0,23.0,1.0,18,0.0,7.0,21.0,4.0,12.0,7,4.0,1.0,9.0,5,21.0,0.0,104.0,20.0,6.0,19.0,6.0,11,3,48.0,53.8
