Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Gerson,br BRA,MF,22.0,34,33,2786.0,31.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,3.2,3.2,3.4,6.6,85.0,252.0,127.0,0.03,0.1,0.13,0.03,0.13,0.1,0.11,0.21,0.1,0.21,Matches,2020,brasileirao,24,2020 Flamengo
Filipe Luís,br BRA,DF,34.0,31,31,2731.0,30.3,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.5,1.5,5.0,6.6,129.0,280.0,160.0,0.07,0.07,0.13,0.07,0.13,0.05,0.17,0.22,0.05,0.22,Matches,2020,brasileirao,24,2020 Flamengo
Everton Ribeiro,br BRA,"MF,FW",30.0,33,31,2633.0,29.3,7.0,6.0,13.0,7.0,0.0,0.0,5.0,0.0,6.0,6.0,7.8,13.8,103.0,222.0,232.0,0.24,0.21,0.44,0.24,0.44,0.21,0.27,0.47,0.21,0.47,Matches,2020,brasileirao,24,2020 Flamengo
Bruno Henrique,br BRA,FW,29.0,31,30,2575.0,28.6,9.0,7.0,16.0,8.0,1.0,2.0,11.0,0.0,13.3,11.8,7.9,19.6,145.0,91.0,334.0,0.31,0.24,0.56,0.28,0.52,0.47,0.28,0.74,0.41,0.69,Matches,2020,brasileirao,24,2020 Flamengo
Willian Arão,br BRA,"MF,DF",27.0,32,29,2629.0,29.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,1.7,2.8,10.0,195.0,15.0,0.03,0.03,0.07,0.03,0.07,0.04,0.06,0.1,0.04,0.1,Matches,2020,brasileirao,24,2020 Flamengo
Mauricio Isla,cl CHI,DF,31.0,29,28,2361.0,26.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,6.3,6.8,24.0,132.0,225.0,0.08,0.19,0.27,0.08,0.27,0.02,0.24,0.26,0.02,0.26,Matches,2020,brasileirao,24,2020 Flamengo
Giorgian De Arrascaeta,uy URU,"MF,FW",25.0,28,26,2206.0,24.5,8.0,9.0,17.0,8.0,0.0,0.0,0.0,0.0,8.6,8.6,9.8,18.4,83.0,173.0,242.0,0.33,0.37,0.69,0.33,0.69,0.35,0.4,0.75,0.35,0.75,Matches,2020,brasileirao,24,2020 Flamengo
Gustavo Henrique,br BRA,DF,26.0,25,23,1950.0,21.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,1.9,1.9,0.6,2.4,5.0,64.0,3.0,0.09,0.05,0.14,0.09,0.14,0.09,0.03,0.11,0.09,0.11,Matches,2020,brasileirao,24,2020 Flamengo
Hugo Souza,br BRA,GK,21.0,23,22,2009.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020,brasileirao,24,2020 Flamengo
Gabriel Barbosa,br BRA,FW,23.0,25,22,1758.0,19.5,14.0,2.0,16.0,8.0,6.0,6.0,3.0,1.0,16.7,12.4,2.2,14.6,40.0,48.0,169.0,0.72,0.1,0.82,0.41,0.51,0.85,0.11,0.96,0.64,0.75,Matches,2020,brasileirao,24,2020 Flamengo
Rodrigo Caio,br BRA,DF,26.0,20,20,1683.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.4,19.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2020,brasileirao,24,2020 Flamengo
