Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2024-04-28,11:00,Série A,Matchweek 4,Sun,Away,W,2,0,Flamengo,1.0,0.8,40.0,53683.0,Marlon Freitas,4-4-2,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),9,3,33.3,0.22,0.67,20.3,0,0,,0.0,0.0,301.0,378.0,79.6,5267.0,2258.0,2,1.0,1.0,0.0,31.0,9.0,20.0,1.0,8,1.0,3.0,16.0,3.0,11.0,8,7.0,1.0,14.0,9,30.0,0.0,84.0,7.0,5.0,18.0,11.0,15,1,31.0,40.0
2024-05-05,18:30,Série A,Matchweek 5,Sun,Home,L,1,2,Bahia,0.8,2.8,56.0,22685.0,Marlon Freitas,4-2-3-1,4-1-2-1-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),16,5,31.3,0.06,0.2,22.4,4,2,75.0,2.3,0.3,503.0,586.0,85.8,9179.0,2962.0,1,0.8,0.4,0.0,52.0,14.0,67.0,2.0,20,2.0,5.0,28.0,1.0,12.0,6,8.0,3.0,5.0,8,10.0,0.0,174.0,18.0,13.0,15.0,9.0,10,6,49.0,47.1
2024-05-08,21:30,Libertadores,Group stage,Wed,Home,W,2,1,ec LDU de Quito,2.1,0.9,60.0,26464.0,Marlon Freitas,4-2-3-1,5-3-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),13,5,38.5,0.15,0.4,19.7,4,3,75.0,0.8,-0.2,371.0,453.0,81.9,6473.0,2672.0,2,2.0,1.1,2.0,46.0,9.0,32.0,3.0,9,1.0,1.0,20.0,3.0,16.0,4,8.0,2.0,11.0,11,16.0,0.0,114.0,15.0,11.0,18.0,11.0,18,3,44.0,56.3
2024-05-12,16:00,Série A,Matchweek 6,Sun,Away,D,1,1,Fortaleza,0.6,0.6,57.0,15914.0,Tchê Tchê,4-2-3-1,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),11,5,45.5,0.09,0.2,19.0,3,2,66.7,0.7,-0.3,435.0,521.0,83.5,7626.0,2794.0,1,0.4,0.6,3.0,40.0,7.0,22.0,1.0,15,1.0,5.0,18.0,2.0,20.0,16,8.0,0.0,8.0,6,26.0,0.0,85.0,19.0,13.0,16.0,16.0,19,0,44.0,61.3
2024-05-16,17:00,Libertadores,Group stage,Thu,Away,W,1,0,pe Universitario,0.5,0.6,44.0,53242.0,Tchê Tchê,4-2-3-1,3-1-4-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),5,1,20.0,0.2,1.0,15.5,2,2,100.0,0.1,0.1,251.0,358.0,70.1,4495.0,1956.0,1,0.5,0.5,2.0,24.0,5.0,26.0,3.0,10,1.0,0.0,9.0,1.0,11.0,9,5.0,1.0,14.0,19,30.0,0.0,87.0,6.0,8.0,19.0,8.0,10,3,43.0,48.9
2024-05-28,17:00,Libertadores,Group stage,Tue,Away,D,0,0,co Junior,0.5,0.5,42.0,16189.0,Gatito Fernández,4-2-3-1,4-3-3,,Match Report,,2024,brasileirao,24,Botafogo (RJ),10,0,0.0,0.0,,17.7,1,1,100.0,0.7,0.7,263.0,326.0,80.7,5044.0,2051.0,0,0.4,0.5,1.0,24.0,7.0,19.0,2.0,15,1.0,4.0,16.0,0.0,13.0,10,6.0,4.0,6.0,9,13.0,0.0,107.0,14.0,6.0,21.0,7.0,9,0,27.0,68.8
2024-06-01,21:00,Série A,Matchweek 7,Sat,Away,W,1,0,Corinthians,1.1,0.7,47.0,41281.0,Tchê Tchê,4-2-3-1,4-3-3,,Match Report,,2024,brasileirao,24,Botafogo (RJ),9,2,22.2,0.11,0.5,16.8,7,7,100.0,0.5,0.5,336.0,449.0,74.8,6635.0,2715.0,1,1.1,1.0,3.0,31.0,9.0,27.0,1.0,21,3.0,5.0,18.0,2.0,20.0,17,10.0,1.0,13.0,9,27.0,0.0,112.0,13.0,8.0,19.0,11.0,16,2,41.0,47.8
2024-06-11,20:00,Série A,Matchweek 8,Tue,Home,W,1,0,Fluminense,1.7,0.2,44.0,27239.0,Tchê Tchê,4-4-1-1,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),19,6,31.6,0.05,0.17,17.9,0,0,,0.0,0.0,269.0,359.0,74.9,4901.0,1999.0,1,1.7,0.8,3.0,31.0,16.0,22.0,0.0,19,0.0,14.0,32.0,2.0,30.0,19,20.0,4.0,8.0,8,26.0,0.0,109.0,15.0,6.0,11.0,9.0,22,4,43.0,60.0
2024-06-16,18:30,Série A,Matchweek 9,Sun,Away,W,2,1,Grêmio,0.7,1.0,55.0,15595.0,Tchê Tchê,4-2-3-1,4-4-1-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),14,5,35.7,0.14,0.4,20.5,3,2,66.7,1.5,0.5,450.0,543.0,82.9,8096.0,3086.0,2,0.7,0.5,0.0,41.0,14.0,43.0,2.0,15,1.0,4.0,27.0,4.0,17.0,12,11.0,3.0,15.0,6,29.0,0.0,140.0,17.0,13.0,20.0,8.0,11,0,33.0,43.3
2024-06-19,19:00,Série A,Matchweek 10,Wed,Home,D,1,1,Ath Paranaense,0.6,1.5,62.0,19589.0,Tchê Tchê,4-2-3-1,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),8,1,12.5,0.13,1.0,22.9,6,5,83.3,2.3,1.3,469.0,563.0,83.3,8674.0,3338.0,1,0.6,1.0,2.0,53.0,8.0,55.0,2.0,25,3.0,5.0,14.0,1.0,18.0,13,12.0,2.0,5.0,6,25.0,0.0,167.0,17.0,18.0,18.0,14.0,13,1,34.0,41.4
