season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Arthur Boka,ci CIV,DF,31.0,23.0,18.0,1708.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Ricardo Horta,pt POR,"FW,MF",19.0,31.0,16.0,1519.0,16.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Recio,es ESP,MF,23.0,30.0,15.0,1493.0,16.6,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Vitorino Antunes,pt POR,DF,27.0,15.0,15.0,1319.0,14.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.14,0.14,0.0,0.14,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Miguel Torres,es ESP,DF,28.0,16.0,13.0,1172.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Roque Santa Cruz,py PAR,FW,32.0,12.0,11.0,912.0,10.1,4.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.39,0.1,0.49,0.3,0.39,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Duda,pt POR,"DF,FW",34.0,25.0,9.0,882.0,9.8,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,0.1,0.1,0.2,0.1,0.2,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Javi Guerra,es ESP,FW,32.0,13.0,7.0,689.0,7.7,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.65,0.13,0.78,0.65,0.78,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Luis Alberto,es ESP,"FW,MF",21.0,15.0,6.0,582.0,6.5,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.31,0.15,0.46,0.31,0.46,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Fernando Tissone,ar ARG,MF,28.0,7.0,3.0,329.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Juanpi,ve VEN,MF,20.0,5.0,2.0,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Ezequiel Rescaldani,ar ARG,FW,22.0,1.0,0.0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Agustín Cousillas,ar ARG,GK,24.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Flávio Ferreira,pt POR,"DF,MF",22.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Egor Filipenko,by BLR,DF,26.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,José Manuel Casado,es ESP,DF,27.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Guillermo Ochoa,mx MEX,GK,29.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Francisco Portillo,es ESP,"FW,MF",24.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Squad Total,,,26.6,38.0,418.0,3420.0,38.0,40.0,27.0,67.0,36.0,4.0,7.0,0.0,0.0,1.05,0.71,1.76,0.95,1.66,,la_liga,12,malaga,1c896955,,,,,,,,,,,,
