season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Leonardo Pavoletti,it ITA,FW,25.0,10.0,4.0,523.0,5.8,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,1.03,0.52,1.55,1.03,1.55,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Aleandro Rosi,it ITA,"DF,MF",27.0,7.0,4.0,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Leandro Greco,it ITA,MF,28.0,7.0,3.0,388.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Luca Antonini,it ITA,"DF,MF",31.0,7.0,3.0,348.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Marco Borriello,it ITA,FW,32.0,8.0,3.0,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Tino Costa,ar ARG,MF,29.0,6.0,2.0,231.0,2.6,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.78,0.39,1.17,0.78,1.17,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Giannis Fetfatzidis,gr GRE,MF,23.0,5.0,2.0,218.0,2.4,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.83,0.0,0.83,0.41,0.41,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Alassane També,ml MLI,DF,22.0,6.0,2.0,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Rolando Mandragora,it ITA,MF,17.0,5.0,2.0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Diego Laxalt,uy URU,"DF,MF",21.0,8.0,1.0,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Antonino Ragusa,it ITA,"FW,MF",24.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Giuseppe Panico,it ITA,FW,17.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Franco Mussis,ar ARG,MF,22.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Lorenzo Ariaudo,it ITA,DF,25.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Matteo Franchetti,it ITA,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Paolo Ghiglione,it ITA,"DF,MF",17.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Andrea Gulli,it ITA,MF,16.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Armando Prisco,it ITA,GK,17.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Mario Sampirisi,it ITA,"DF,MF",21.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Daniele Sommariva,it ITA,GK,17.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Marco Soprano,it ITA,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Squad Total,,,26.0,38.0,418.0,3420.0,38.0,58.0,41.0,99.0,53.0,5.0,7.0,0.0,0.0,1.53,1.08,2.61,1.39,2.47,,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Opponent Total,,,27.5,38.0,418.0,3420.0,38.0,47.0,32.0,79.0,44.0,3.0,8.0,110.0,5.0,1.24,0.84,2.08,1.16,2.0,,serie_a,11,genoa,658bf2de,,,,,,,,,,,,
2014-2015,Angelo Palombo,it ITA,MF,32.0,36.0,34.0,2925.0,32.5,1.0,3.0,4.0,0.0,1.0,1.0,7.0,0.0,0.03,0.09,0.12,0.0,0.09,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Lorenzo De Silvestri,it ITA,"DF,MF",26.0,33.0,33.0,2928.0,32.5,4.0,3.0,7.0,4.0,0.0,0.0,8.0,0.0,0.12,0.09,0.22,0.12,0.22,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Pedro Obiang,gq EQG,MF,22.0,34.0,32.0,2751.0,30.6,3.0,1.0,4.0,3.0,0.0,0.0,12.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Emiliano Viviano,it ITA,GK,28.0,29.0,29.0,2540.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
