Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Jonny Mosquera,co COL,MF,27.0,11,4,463.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2019,brasileirao,24,2019 Avaí
Lucas Frigeri,br BRA,GK,29.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Avaí
Igor Goularte,br BRA,"FW,MF",22.0,7,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,14.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,2019,brasileirao,24,2019 Avaí
Ramon Pereira,br BRA,DF,19.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,5.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2019,brasileirao,24,2019 Avaí
Bruno Sávio,br BRA,"FW,MF",24.0,5,3,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,12.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,Matches,2019,brasileirao,24,2019 Avaí
Zé Marcos,br BRA,DF,20.0,3,3,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2019,brasileirao,24,2019 Avaí
Daniel Amorim,br BRA,FW,29.0,9,2,342.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,3.0,9.0,29.0,0.26,0.0,0.26,0.26,0.26,0.16,0.02,0.18,0.16,0.18,Matches,2019,brasileirao,24,2019 Avaí
Feliciano Brizuela,py PAR,FW,22.0,4,1,170.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,2.0,21.0,0.53,0.0,0.53,0.53,0.53,0.27,0.0,0.27,0.27,0.27,Matches,2019,brasileirao,24,2019 Avaí
Alex Silva,br BRA,DF,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,Matches,2019,brasileirao,24,2019 Avaí
Marcinho,br BRA,MF,19.0,3,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Avaí
Matheus Matias,br BRA,FW,20.0,2,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,2019,brasileirao,24,2019 Avaí
Gabriel Lima,br BRA,"MF,FW",22.0,6,0,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.9,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.17,0.25,0.42,0.17,0.42,Matches,2019,brasileirao,24,2019 Avaí
Matheus Lucas,br BRA,"FW,MF",20.0,4,0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.15,0.11,0.15,Matches,2019,brasileirao,24,2019 Avaí
André Moritz,br BRA,MF,32.0,4,0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.1,0.4,3.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,0.34,0.24,0.34,Matches,2019,brasileirao,24,2019 Avaí
Jones Carioca,br BRA,"FW,MF",30.0,3,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.27,0.08,0.27,Matches,2019,brasileirao,24,2019 Avaí
Glédson,br BRA,GK,35.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Avaí
Falcão,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Avaí
Nuno,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019,brasileirao,24,2019 Avaí
Squad Total,,,26.7,38,418,3420.0,38.0,17.0,9.0,26.0,13.0,4.0,5.0,79.0,10.0,34.8,30.9,23.3,54.1,624.0,1422.0,1399.0,0.45,0.24,0.68,0.34,0.58,0.92,0.61,1.53,0.81,1.42,,2019,brasileirao,24,2019 Avaí
Opponent Total,,,27.3,38,418,3420.0,38.0,61.0,40.0,101.0,54.0,7.0,7.0,65.0,4.0,57.9,52.4,40.7,93.1,733.0,1750.0,1731.0,1.61,1.05,2.66,1.42,2.47,1.52,1.07,2.59,1.38,2.45,,2019,brasileirao,24,2019 Avaí
