Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2023-05-24,18:00,Libertadores,Group stage,Wed,Away,W,3,0,py Cerro Porteño,2.9,0.7,56,,Gustavo Gómez,4-2-3-1,4-4-2,Andrés Matonte,Match Report,,2023,brasileirao,24,2023 Palmeiras,18,7,38.9,0.17,0.43,17.8,4,4,100.0,0.3,0.3,457.0,522.0,87.5,8764.0,2838.0,3,2.4,2.2,4.0,36.0,14.0,35.0,6.0,14,5.0,2.0,32.0,6.0,12.0,7,6.0,1.0,8.0,7,15.0,2.0,116.0,14.0,16.0,23.0,4.0,16,2,49.0,52.6
2023-05-28,18:30,Série A,Matchweek 8,Sun,Away,D,1,1,Atlético Mineiro,1.1,0.8,43,53236.0,Gustavo Gómez,4-2-3-1,4-1-3-2,Braulio da Silva Machado,Match Report,,2023,brasileirao,24,2023 Palmeiras,11,2,18.2,0.09,0.5,18.9,4,3,75.0,0.3,-0.7,304.0,392.0,77.6,6248.0,2206.0,1,0.9,0.9,2.0,25.0,7.0,17.0,6.0,13,1.0,3.0,19.0,2.0,17.0,8,13.0,1.0,11.0,12,21.0,1.0,94.0,11.0,10.0,17.0,8.0,15,3,51.0,50.0
2023-06-04,18:30,Série A,Matchweek 9,Sun,Home,W,3,1,Coritiba,2.5,0.6,51,33570.0,Gustavo Gómez,4-2-3-1,3-4-1-2,Felipe Fernandes de Lima,Match Report,,2023,brasileirao,24,2023 Palmeiras,23,8,34.8,0.13,0.38,16.2,4,3,75.0,0.8,-0.2,397.0,486.0,81.7,8439.0,2857.0,3,2.2,1.4,7.0,48.0,19.0,35.0,7.0,38,0.0,11.0,44.0,6.0,12.0,9,3.0,1.0,2.0,11,10.0,1.0,188.0,28.0,22.0,17.0,8.0,15,3,40.0,47.8
2023-06-07,21:30,Libertadores,Group stage,Wed,Home,W,4,2,ec Barcelona,2.9,1.6,54,,Gustavo Gómez,4-2-3-1,4-2-3-1,Andrés Rojas,Match Report,,2023,brasileirao,24,2023 Palmeiras,26,6,23.1,0.15,0.67,15.0,6,4,66.7,2.4,0.4,348.0,440.0,79.1,7470.0,2793.0,2,2.1,2.4,4.0,57.0,17.0,34.0,6.0,30,0.0,7.0,45.0,6.0,17.0,9,6.0,3.0,5.0,6,19.0,1.0,158.0,21.0,18.0,8.0,4.0,14,3,51.0,57.9
2023-06-11,16:00,Série A,Matchweek 10,Sun,Away,W,2,0,São Paulo,0.7,1.4,35,56871.0,Luan Garcia,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2023,brasileirao,24,2023 Palmeiras,10,4,40.0,0.2,0.5,19.6,6,6,100.0,1.0,1.0,255.0,340.0,75.0,4883.0,2035.0,1,0.6,0.3,0.0,23.0,8.0,18.0,2.0,9,0.0,3.0,17.0,2.0,20.0,11,10.0,1.0,13.0,3,32.0,0.0,89.0,10.0,6.0,19.0,7.0,16,2,52.0,40.0
2023-06-21,21:30,Série A,Matchweek 11,Wed,Away,L,0,1,Bahia,0.8,1.1,54,31013.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2023,brasileirao,24,2023 Palmeiras,10,2,20.0,0.0,0.0,18.2,3,2,66.7,1.2,0.2,377.0,490.0,76.9,7065.0,2552.0,0,0.6,0.7,2.0,41.0,7.0,26.0,5.0,19,0.0,8.0,15.0,0.0,20.0,15,11.0,1.0,9.0,9,14.0,0.0,120.0,25.0,11.0,13.0,6.0,16,7,55.0,50.0
2023-06-25,16:00,Série A,Matchweek 12,Sun,Home,L,0,1,Botafogo (RJ),2.6,0.8,64,38877.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2023,brasileirao,24,2023 Palmeiras,14,4,28.6,0.0,0.0,17.2,2,1,50.0,0.5,-0.5,425.0,558.0,76.2,8138.0,2768.0,0,1.8,1.0,4.0,69.0,14.0,36.0,6.0,48,2.0,12.0,28.0,0.0,17.0,9,5.0,3.0,9.0,5,11.0,0.0,201.0,25.0,23.0,16.0,8.0,17,4,60.0,53.5
2023-06-29,21:00,Libertadores,Group stage,Thu,Home,W,4,0,bo Bolívar,4.1,0.2,58,33250.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Jesús Valenzuela,Match Report,,2023,brasileirao,24,2023 Palmeiras,28,11,39.3,0.14,0.36,16.5,2,2,100.0,0.3,0.3,459.0,534.0,86.0,9057.0,3374.0,4,3.9,3.3,7.0,51.0,23.0,45.0,3.0,22,4.0,7.0,52.0,7.0,7.0,5,1.0,2.0,7.0,15,9.0,0.0,157.0,24.0,14.0,10.0,3.0,4,1,46.0,66.7
2023-07-02,16:00,Série A,Matchweek 13,Sun,Away,D,2,2,Ath Paranaense,1.6,3.5,46,33118.0,Gustavo Gómez,3-5-2,3-4-3,Jean Pierre Goncalves Lima,Match Report,,2023,brasileirao,24,2023 Palmeiras,10,4,40.0,0.2,0.5,21.6,5,3,80.0,2.6,0.6,326.0,415.0,78.6,6695.0,2300.0,2,0.8,0.8,1.0,26.0,9.0,18.0,5.0,12,1.0,2.0,20.0,4.0,14.0,10,8.0,2.0,11.0,10,23.0,0.0,92.0,13.0,9.0,15.0,8.0,9,4,35.0,42.9
2023-07-08,21:00,Série A,Matchweek 14,Sat,Home,D,1,1,Flamengo,1.1,0.8,44,40229.0,Gustavo Gómez,4-2-3-1,4-3-3,Ramon Abatti,Match Report,,2023,brasileirao,24,2023 Palmeiras,11,4,36.4,0.09,0.25,15.4,4,3,75.0,1.4,0.4,347.0,440.0,78.9,7297.0,2224.0,0,0.8,0.8,3.0,39.0,9.0,27.0,4.0,21,0.0,4.0,20.0,1.0,18.0,10,10.0,0.0,10.0,4,24.0,0.0,120.0,14.0,9.0,10.0,4.0,13,5,39.0,61.1
