Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Dudu,br BRA,FW,30.0,38.0,36.0,2815.0,31.3,7.0,8.0,15.0,7.0,0.0,0.0,2.0,0.0,8.3,8.3,5.5,13.8,156.0,167.0,309.0,0.22,0.26,0.48,0.22,0.48,0.27,0.18,0.44,0.27,0.44,Matches,2022,brasileirao,24,2022 Palmeiras
Wéverton,br BRA,GK,34.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,brasileirao,24,2022 Palmeiras
Danilo,br BRA,MF,20.0,34.0,33.0,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,2.8,2.8,1.4,4.2,38.0,139.0,37.0,0.03,0.07,0.1,0.03,0.1,0.09,0.04,0.14,0.09,0.14,Matches,2022,brasileirao,24,2022 Palmeiras
Murilo Cerqueira,br BRA,DF,24.0,32.0,32.0,2837.0,31.5,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,3.6,3.6,1.8,5.4,19.0,121.0,1.0,0.16,0.03,0.19,0.16,0.19,0.11,0.06,0.17,0.11,0.17,Matches,2022,brasileirao,24,2022 Palmeiras
Gustavo Scarpa,br BRA,"MF,FW",28.0,35.0,31.0,2575.0,28.6,7.0,13.0,20.0,3.0,4.0,5.0,3.0,0.0,10.2,6.3,11.9,18.2,79.0,158.0,274.0,0.24,0.45,0.7,0.1,0.56,0.36,0.42,0.77,0.22,0.64,Matches,2022,brasileirao,24,2022 Palmeiras
Zé Rafael,br BRA,MF,28.0,33.0,31.0,2569.0,28.5,3.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,4.1,4.1,2.6,6.8,50.0,97.0,70.0,0.11,0.04,0.14,0.11,0.14,0.14,0.09,0.24,0.14,0.24,Matches,2022,brasileirao,24,2022 Palmeiras
Gustavo Gómez,py PAR,DF,28.0,30.0,30.0,2700.0,30.0,9.0,0.0,9.0,8.0,1.0,1.0,9.0,0.0,4.5,3.7,0.6,4.3,9.0,87.0,13.0,0.3,0.0,0.3,0.27,0.27,0.15,0.02,0.17,0.12,0.14,Matches,2022,brasileirao,24,2022 Palmeiras
Rony,br BRA,FW,26.0,33.0,29.0,2387.0,26.5,12.0,2.0,14.0,12.0,0.0,0.0,3.0,0.0,11.3,11.3,4.2,15.5,46.0,29.0,170.0,0.45,0.08,0.53,0.45,0.53,0.43,0.16,0.58,0.43,0.58,Matches,2022,brasileirao,24,2022 Palmeiras
Marcos Rocha,br BRA,DF,33.0,28.0,28.0,2246.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.4,2.4,52.0,289.0,72.0,0.0,0.16,0.16,0.0,0.16,0.0,0.1,0.1,0.0,0.1,Matches,2022,brasileirao,24,2022 Palmeiras
Joaquín Piquerez,uy URU,DF,23.0,26.0,26.0,2227.0,24.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.2,3.3,42.0,121.0,96.0,0.0,0.08,0.08,0.0,0.08,0.04,0.09,0.13,0.04,0.13,Matches,2022,brasileirao,24,2022 Palmeiras
Raphael Veiga,br BRA,MF,26.0,19.0,17.0,1261.0,14.0,3.0,3.0,6.0,1.0,2.0,3.0,1.0,0.0,4.6,2.3,2.3,4.6,37.0,70.0,86.0,0.21,0.21,0.43,0.07,0.29,0.33,0.16,0.5,0.16,0.33,Matches,2022,brasileirao,24,2022 Palmeiras
Mayke,br BRA,"DF,FW",29.0,28.0,15.0,1466.0,16.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,3.5,5.1,34.0,63.0,114.0,0.18,0.0,0.18,0.18,0.18,0.1,0.22,0.31,0.1,0.31,Matches,2022,brasileirao,24,2022 Palmeiras
Luan Garcia,br BRA,DF,28.0,16.0,14.0,1225.0,13.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.3,1.5,9.0,67.0,3.0,0.0,0.15,0.15,0.0,0.15,0.02,0.09,0.11,0.02,0.11,Matches,2022,brasileirao,24,2022 Palmeiras
Vanderlan,br BRA,DF,19.0,13.0,7.0,652.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,1.6,19.0,26.0,27.0,0.14,0.14,0.28,0.14,0.28,0.09,0.13,0.23,0.09,0.23,Matches,2022,brasileirao,24,2022 Palmeiras
Gabriel Veron,br BRA,"FW,MF",19.0,12.0,7.0,569.0,6.3,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,1.9,20.0,18.0,47.0,0.16,0.47,0.63,0.16,0.63,0.13,0.17,0.3,0.13,0.3,Matches,2022,brasileirao,24,2022 Palmeiras
Gabriel Menino,br BRA,MF,21.0,27.0,6.0,918.0,10.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,1.2,1.2,1.5,2.7,25.0,80.0,39.0,0.2,0.1,0.29,0.2,0.29,0.12,0.15,0.27,0.12,0.27,Matches,2022,brasileirao,24,2022 Palmeiras
Wesley,br BRA,FW,22.0,19.0,6.0,649.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.3,2.3,1.1,3.4,34.0,32.0,73.0,0.14,0.14,0.28,0.14,0.28,0.32,0.16,0.47,0.32,0.47,Matches,2022,brasileirao,24,2022 Palmeiras
Eduard Atuesta,co COL,MF,24.0,26.0,5.0,658.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.7,1.8,20.0,43.0,52.0,0.14,0.0,0.14,0.14,0.14,0.14,0.1,0.24,0.14,0.24,Matches,2022,brasileirao,24,2022 Palmeiras
José López,ar ARG,FW,21.0,12.0,5.0,546.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,3.3,3.3,0.2,3.5,7.0,11.0,27.0,0.33,0.0,0.33,0.33,0.33,0.54,0.04,0.58,0.54,0.58,Matches,2022,brasileirao,24,2022 Palmeiras
Jorge,br BRA,DF,25.0,9.0,5.0,469.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,8.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.1,0.02,0.1,Matches,2022,brasileirao,24,2022 Palmeiras
Rafael Navarro,br BRA,"FW,MF",21.0,23.0,4.0,720.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.3,3.0,6.0,12.0,40.0,0.0,0.12,0.12,0.0,0.12,0.34,0.04,0.37,0.34,0.37,Matches,2022,brasileirao,24,2022 Palmeiras
