season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-2015,2014-11-09,21:00,Ligue 1,Matchweek 13,Sun,Home,W,2,0,Marseille,49.0,45961.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-21,20:30,Ligue 1,Matchweek 14,Fri,Away,W,3,2,Metz,66.0,36013.0,Thiago Silva,4-3-3,Frédy Fautrel,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-25,20:45,Champions Lg,Group stage,Tue,Home,W,3,1,nl Ajax,41.0,46130.0,,4-3-3,Matej Jug,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-29,17:00,Ligue 1,Matchweek 15,Sat,Home,W,1,0,Nice,61.0,45542.0,Thiago Silva,4-3-3,Sébastien Desiage,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-03,21:00,Ligue 1,Matchweek 16,Wed,Away,D,1,1,Lille,60.0,45771.0,Thiago Silva,4-3-3,Lionel Jaffredo,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-06,17:00,Ligue 1,Matchweek 17,Sat,Home,W,2,1,Nantes,66.0,46161.0,,4-3-3,Benoît Bastien,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-10,20:45,Champions Lg,Group stage,Wed,Away,L,1,3,es Barcelona,41.0,82570.0,,4-4-2,Martin Atkinson,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-14,17:00,Ligue 1,Matchweek 18,Sun,Away,L,0,1,Guingamp,70.0,17636.0,Thiago Silva,4-3-3,Antony Gautier,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-20,17:00,Ligue 1,Matchweek 19,Sat,Home,D,0,0,Montpellier,64.0,46157.0,Thiago Silva,4-3-3,Sébastien Moreira,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-10,17:00,Ligue 1,Matchweek 20,Sat,Away,L,2,4,Bastia,60.0,13028.0,Thiago Silva,4-3-3,Frédy Fautrel,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
