season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-2015,2014-08-09,21:00,Ligue 1,Matchweek 1,Sat,Home,W,3,2,Toulouse,48.0,19474.0,Mathieu Bodmer,4-3-3,Franck Schneider,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-16,20:00,Ligue 1,Matchweek 2,Sat,Away,D,0,0,Lorient,46.0,13735.0,Nampalys Mendy,4-3-3,Saïd Ennjimi,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-23,20:00,Ligue 1,Matchweek 3,Sat,Home,L,1,3,Bordeaux,53.0,22712.0,Éric Bauthéac,4-1-4-1,Stéphane Lannoy,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-29,20:30,Ligue 1,Matchweek 4,Fri,Away,L,0,4,Marseille,43.0,41413.0,Nampalys Mendy,4-3-3,Bartolomeu Varela,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-13,20:00,Ligue 1,Matchweek 5,Sat,Home,W,1,0,Metz,57.0,18019.0,Mathieu Bodmer,3-5-2,Tony Chapron,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-20,20:00,Ligue 1,Matchweek 6,Sat,Away,L,1,2,Nantes,59.0,23240.0,Mathieu Bodmer,3-5-1-1,Clément Turpin,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-24,19:00,Ligue 1,Matchweek 7,Wed,Home,W,1,0,Lille,56.0,16541.0,Mathieu Bodmer,4-2-3-1,Amaury Delerue,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-27,14:00,Ligue 1,Matchweek 8,Sat,Away,W,1,0,Monaco,42.0,8941.0,Mathieu Bodmer,4-2-3-1,Ruddy Buquet,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-04,20:00,Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,55.0,19634.0,Didier Digard,4-2-3-1,Wilfried Bien,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-18,20:00,Ligue 1,Matchweek 10,Sat,Home,L,0,1,Bastia,61.0,18919.0,Didier Digard,4-2-3-1,Saïd Ennjimi,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-26,17:00,Ligue 1,Matchweek 11,Sun,Away,W,7,2,Guingamp,56.0,14644.0,Didier Digard,4-2-3-1,Clément Turpin,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-01,20:00,Ligue 1,Matchweek 12,Sat,Home,L,1,3,Lyon,43.0,15677.0,,4-2-3-1,Amaury Delerue,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-08,20:00,Ligue 1,Matchweek 13,Sat,Away,L,0,1,Evian,54.0,7738.0,Nampalys Mendy,4-3-3,Nicolas Rainville,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-22,20:00,Ligue 1,Matchweek 14,Sat,Home,D,0,0,Reims,46.0,15207.0,Nampalys Mendy,4-3-3,Philippe Kalt,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-29,17:00,Ligue 1,Matchweek 15,Sat,Away,L,0,1,Paris S-G,39.0,45542.0,Nampalys Mendy,4-2-3-1,Sébastien Desiage,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-03,19:00,Ligue 1,Matchweek 16,Wed,Home,L,1,2,Rennes,56.0,15033.0,Nampalys Mendy,4-2-3-1,Alexandre Castro,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-06,20:00,Ligue 1,Matchweek 17,Sat,Away,W,3,2,Caen,55.0,13487.0,Nampalys Mendy,4-2-3-1,Clément Turpin,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-14,14:00,Ligue 1,Matchweek 18,Sun,Home,D,0,0,Saint-Étienne,53.0,18493.0,Mathieu Bodmer,4-2-3-1,Lionel Jaffredo,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-19,20:30,Ligue 1,Matchweek 19,Fri,Away,L,0,2,Lens,53.0,8705.0,Mathieu Bodmer,4-2-3-1,Sébastien Desiage,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-10,20:00,Ligue 1,Matchweek 20,Sat,Home,W,3,1,Lorient,54.0,16141.0,Mathieu Bodmer,4-2-3-1,Wilfried Bien,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-16,20:30,Ligue 1,Matchweek 21,Fri,Away,W,2,1,Bordeaux,50.0,13953.0,Nampalys Mendy,4-2-3-1,Benoît Millot,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-23,20:30,Ligue 1,Matchweek 22,Fri,Home,W,2,1,Marseille,43.0,25407.0,Nampalys Mendy,4-2-3-1,Anthony Gonzales,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-31,20:00,Ligue 1,Matchweek 23,Sat,Away,D,0,0,Metz,54.0,15115.0,Nampalys Mendy,4-2-3-1,Nicolas Rainville,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-08,17:00,Ligue 1,Matchweek 24,Sun,Home,D,0,0,Nantes,53.0,18062.0,Nampalys Mendy,4-2-3-1,Tony Chapron,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-14,20:00,Ligue 1,Matchweek 25,Sat,Away,D,0,0,Lille,54.0,35053.0,,4-2-3-1,Bartolomeu Varela,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-20,20:30,Ligue 1,Matchweek 26,Fri,Home,L,0,1,Monaco,54.0,24130.0,,4-2-3-1,Benoît Bastien,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-01,17:00,Ligue 1,Matchweek 27,Sun,Away,L,1,2,Montpellier,54.0,12083.0,,4-2-3-1,Ruddy Buquet,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-07,20:00,Ligue 1,Matchweek 28,Sat,Away,L,1,2,Bastia,46.0,13777.0,,4-2-3-1,Frédy Fautrel,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-13,20:30,Ligue 1,Matchweek 29,Fri,Home,L,1,2,Guingamp,62.0,,,4-2-3-1,Benoît Millot,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-21,16:00,Ligue 1,Matchweek 30,Sat,Away,W,2,1,Lyon,36.0,36300.0,,4-2-3-1,Antony Gautier,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-04,20:00,Ligue 1,Matchweek 31,Sat,Home,D,2,2,Evian,49.0,18518.0,,4-2-3-1,Amaury Delerue,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-12,17:00,Ligue 1,Matchweek 32,Sun,Away,W,1,0,Reims,46.0,14905.0,,4-2-3-1,Mikael Lesage,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-18,17:00,Ligue 1,Matchweek 33,Sat,Home,L,1,3,Paris S-G,43.0,25145.0,,4-2-3-1,Sébastien Desiage,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-25,20:00,Ligue 1,Matchweek 34,Sat,Away,L,1,2,Rennes,47.0,20675.0,,4-2-3-1,Tony Chapron,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-02,20:00,Ligue 1,Matchweek 35,Sat,Home,D,1,1,Caen,54.0,19009.0,,4-2-3-1,Philippe Kalt,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-10,17:00,Ligue 1,Matchweek 36,Sun,Away,L,0,5,Saint-Étienne,46.0,32770.0,,4-2-3-1,Bartolomeu Varela,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-16,21:00,Ligue 1,Matchweek 37,Sat,Home,W,2,1,Lens,46.0,20185.0,,4-2-3-1,Nicolas Rainville,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-23,21:00,Ligue 1,Matchweek 38,Sat,Away,W,3,2,Toulouse,50.0,19830.0,,4-1-4-1,Lionel Jaffredo,Match Report,,ligue_1,13,nice,132ebc33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-09,21:00,Ligue 1,Matchweek 1,Sat,Home,D,3,3,Marseille,43.0,15534.0,Yannick Cahuzac,4-4-1-1,Lionel Jaffredo,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-16,17:00,Ligue 1,Matchweek 2,Sat,Away,L,0,2,Paris S-G,34.0,45258.0,François Modesto,4-5-1,Amaury Delerue,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-23,20:00,Ligue 1,Matchweek 3,Sat,Home,W,1,0,Toulouse,47.0,13797.0,Sébastien Squillaci,4-2-3-1,Sébastien Moreira,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-31,14:00,Ligue 1,Matchweek 4,Sun,Away,D,1,1,Bordeaux,38.0,21917.0,Sébastien Squillaci,4-2-3-1,Frédy Fautrel,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-13,20:00,Ligue 1,Matchweek 5,Sat,Home,D,1,1,Lens,59.0,12479.0,Sébastien Squillaci,4-2-3-1,Wilfried Bien,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-20,20:00,Ligue 1,Matchweek 6,Sat,Away,L,1,3,Metz,56.0,18605.0,Yannick Cahuzac,4-2-3-1,Sébastien Desiage,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-24,19:00,Ligue 1,Matchweek 7,Wed,Home,D,0,0,Nantes,78.0,11380.0,Yannick Cahuzac,4-1-2-1-2◆,Tony Chapron,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-27,20:00,Ligue 1,Matchweek 8,Sat,Away,L,0,1,Lille,44.0,33558.0,Sébastien Squillaci,4-4-1-1,Bartolomeu Varela,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-04,20:00,Ligue 1,Matchweek 9,Sat,Home,L,0,2,Lorient,53.0,11530.0,Sébastien Squillaci,4-2-3-1,Stéphane Lannoy,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-18,20:00,Ligue 1,Matchweek 10,Sat,Away,W,1,0,Nice,39.0,18919.0,Sébastien Squillaci,4-1-4-1,Saïd Ennjimi,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-25,20:00,Ligue 1,Matchweek 11,Sat,Home,L,1,3,Monaco,51.0,13106.0,Sébastien Squillaci,4-2-3-1,Antony Gautier,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-01,20:00,Ligue 1,Matchweek 12,Sat,Away,L,0,1,Guingamp,58.0,14293.0,Yannick Cahuzac,4-2-3-1,Ruddy Buquet,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-08,20:00,Ligue 1,Matchweek 13,Sat,Home,W,2,0,Montpellier,48.0,11556.0,,4-2-3-1,Lionel Jaffredo,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-22,17:00,Ligue 1,Matchweek 14,Sat,Home,D,0,0,Lyon,40.0,12349.0,Yannick Cahuzac,3-4-1-2,Benoît Bastien,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-11-29,20:00,Ligue 1,Matchweek 15,Sat,Away,L,1,2,Reims,48.0,13304.0,Yannick Cahuzac,4-3-3,Mikael Lesage,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-03,19:00,Ligue 1,Matchweek 16,Wed,Home,L,1,2,Evian,53.0,10902.0,Yannick Cahuzac,4-2-3-1,Bartolomeu Varela,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-06,20:00,Ligue 1,Matchweek 17,Sat,Away,L,0,1,Saint-Étienne,38.0,28686.0,Yannick Cahuzac,4-2-3-1,Nicolas Rainville,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-13,20:00,Ligue 1,Matchweek 18,Sat,Home,W,2,0,Rennes,59.0,11121.0,Yannick Cahuzac,4-2-3-1,Olivier Thual,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-12-20,20:00,Ligue 1,Matchweek 19,Sat,Away,D,1,1,Caen,45.0,14021.0,Yannick Cahuzac,4-2-3-1,Benoît Millot,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-10,17:00,Ligue 1,Matchweek 20,Sat,Home,W,4,2,Paris S-G,40.0,13028.0,Yannick Cahuzac,5-3-2,Frédy Fautrel,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-17,20:00,Ligue 1,Matchweek 21,Sat,Away,D,1,1,Toulouse,42.0,10215.0,Yannick Cahuzac,3-5-2,Franck Schneider,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-20,18:30,Coupe de France,Round of 32,Tue,Away,D,1 (1),1 (3),Quevilly-Rouen,,8400.0,,,Ruddy Buquet,Match Report,Quevilly-Rouen won on penalty kicks following extra time,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-24,20:00,Ligue 1,Matchweek 22,Sat,Home,D,0,0,Bordeaux,49.0,11571.0,Yannick Cahuzac,4-4-1-1,Saïd Ennjimi,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-31,20:00,Ligue 1,Matchweek 23,Sat,Away,D,1,1,Lens,44.0,7987.0,François Modesto,4-4-1-1,Alexandre Castro,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-07,20:00,Ligue 1,Matchweek 24,Sat,Home,W,2,0,Metz,63.0,11399.0,Yannick Cahuzac,4-2-3-1,Stéphane Lannoy,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-14,20:00,Ligue 1,Matchweek 25,Sat,Away,W,2,0,Nantes,56.0,19789.0,,4-2-3-1,Mikael Lesage,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-21,20:00,Ligue 1,Matchweek 26,Sat,Home,W,2,1,Lille,49.0,11621.0,,4-2-3-1,Sébastien Desiage,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-28,20:00,Ligue 1,Matchweek 27,Sat,Away,L,0,2,Lorient,48.0,13619.0,,4-2-3-1,Wilfried Bien,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-07,20:00,Ligue 1,Matchweek 28,Sat,Home,W,2,1,Nice,54.0,13777.0,,4-2-3-1,Frédy Fautrel,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-13,20:30,Ligue 1,Matchweek 29,Fri,Away,L,0,3,Monaco,41.0,5764.0,,4-2-3-1,Ruddy Buquet,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-21,20:00,Ligue 1,Matchweek 30,Sat,Home,D,0,0,Guingamp,50.0,,,4-3-3,Stéphane Lannoy,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-04,20:00,Ligue 1,Matchweek 31,Sat,Away,L,1,3,Montpellier,52.0,11349.0,,4-2-3-1,Alexandre Castro,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-11,21:00,Coupe de la Ligue,Final stage,Sat,Home,L,0,4,Paris S-G,,71969.0,,,,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-15,18:30,Ligue 1,Matchweek 32,Wed,Away,L,0,2,Lyon,40.0,36549.0,,5-4-1,Lionel Jaffredo,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-18,20:00,Ligue 1,Matchweek 33,Sat,Home,L,1,2,Reims,56.0,15452.0,,4-2-3-1,Benoît Millot,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-25,20:00,Ligue 1,Matchweek 34,Sat,Away,W,2,1,Evian,48.0,8521.0,,4-3-3,Sébastien Moreira,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-02,20:00,Ligue 1,Matchweek 35,Sat,Home,W,1,0,Saint-Étienne,53.0,14944.0,,4-2-3-1,Stéphane Lannoy,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-09,20:00,Ligue 1,Matchweek 36,Sat,Away,W,1,0,Rennes,40.0,20368.0,,4-2-3-1,Saïd Ennjimi,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-16,21:00,Ligue 1,Matchweek 37,Sat,Home,D,1,1,Caen,61.0,14902.0,,4-2-3-1,Alexandre Castro,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-23,21:00,Ligue 1,Matchweek 38,Sat,Away,L,0,3,Marseille,40.0,59533.0,,4-2-3-1,Ruddy Buquet,Match Report,,ligue_1,13,bastia,6283be2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-09,21:00,Ligue 1,Matchweek 1,Sat,Away,W,3,0,Evian,41.0,9915.0,Julien Féret,4-1-4-1,Saïd Ennjimi,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-15,20:30,Ligue 1,Matchweek 2,Fri,Home,L,0,1,Lille,42.0,14353.0,Julien Féret,4-1-4-1,Sébastien Desiage,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-23,20:00,Ligue 1,Matchweek 3,Sat,Away,W,2,0,Reims,47.0,12015.0,Julien Féret,4-1-4-1,Wilfried Bien,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-30,20:00,Ligue 1,Matchweek 4,Sat,Home,L,0,1,Rennes,36.0,12767.0,Julien Féret,4-1-4-1,Alexandre Castro,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-13,20:00,Ligue 1,Matchweek 5,Sat,Away,L,0,1,Saint-Étienne,44.0,26293.0,Julien Féret,4-1-4-1,Sébastien Moreira,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-20,20:00,Ligue 1,Matchweek 6,Sat,Away,D,3,3,Toulouse,44.0,13057.0,Julien Féret,4-2-3-1,Benoît Bastien,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-24,21:00,Ligue 1,Matchweek 7,Wed,Home,L,0,2,Paris S-G,37.0,19988.0,Julien Féret,4-1-4-1,Wilfried Bien,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-28,17:00,Ligue 1,Matchweek 8,Sun,Away,D,0,0,Lens,52.0,8525.0,Julien Féret,4-1-4-1,Clément Turpin,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-04,17:00,Ligue 1,Matchweek 9,Sat,Home,L,1,2,Marseille,45.0,20501.0,Julien Féret,4-1-4-1,Benoît Millot,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-10-19,17:00,Ligue 1,Matchweek 10,Sun,Away,D,1,1,Bordeaux,49.0,19798.0,Julien Féret,4-1-4-1,Alexandre Castro,Match Report,,ligue_1,13,caen,74229020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
