season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2015-2016,Guillaume Gillet,be BEL,MF,31.0,19.0,19.0,1710.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Kolbeinn Sigþórsson,is ISL,FW,25.0,26.0,19.0,1688.0,18.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.16,0.0,0.16,0.16,0.16,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Adryan,br BRA,"MF,FW",20.0,26.0,19.0,1423.0,15.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,0.19,0.13,0.32,0.19,0.32,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Yacine Bammou,ma MAR,"MF,FW",23.0,32.0,17.0,1520.0,16.9,4.0,2.0,6.0,4.0,0.0,0.0,6.0,1.0,0.24,0.12,0.36,0.24,0.36,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Ermir Lenjani,al ALB,"DF,MF",25.0,20.0,15.0,1393.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.06,0.06,0.13,0.06,0.13,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Wilfried Moimbé,fr FRA,DF,26.0,15.0,15.0,1322.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Rémi Gomis,sn SEN,MF,31.0,17.0,13.0,1191.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Lucas Deaux,fr FRA,"MF,DF",26.0,16.0,13.0,1184.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Johan Audel,mq MTQ,"MF,FW",31.0,29.0,11.0,1278.0,14.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.14,0.21,0.35,0.14,0.35,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Jules Iloki,fr FRA,MF,23.0,21.0,10.0,1015.0,11.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Valentin Rongier,fr FRA,MF,20.0,11.0,9.0,740.0,8.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Maxime Dupé,fr FRA,GK,22.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Abdoulaye Touré,gn GUI,MF,21.0,4.0,2.0,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Olivier Veigneau,fr FRA,DF,30.0,2.0,2.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Alexis Alegue,fr FRA,MF,18.0,3.0,1.0,97.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.93,0.0,0.93,0.93,0.93,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Anthony Walongwa,,DF,21.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Enock Kwateng,fr FRA,DF,18.0,2.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Thomas Henry,fr FRA,FW,20.0,2.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Hicham M'Laab,fr FRA,"FW,MF",25.0,2.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Quentin Braat,fr FRA,GK,18.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Aristote N'Dongala,cd COD,FW,21.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Alexandre Olliero,fr FRA,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Squad Total,,,25.8,38.0,418.0,3420.0,38.0,30.0,25.0,55.0,30.0,0.0,0.0,0.0,0.0,0.79,0.66,1.45,0.79,1.45,,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Opponent Total,,,26.4,38.0,418.0,3420.0,38.0,43.0,30.0,73.0,39.0,4.0,5.0,70.0,6.0,1.13,0.79,1.92,1.03,1.82,,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
2015-2016,Benjamin Lecomte,fr FRA,GK,24.0,37.0,37.0,3241.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Didier Ibrahim Ndong,ga GAB,MF,21.0,34.0,34.0,3055.0,33.9,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Lamine Gassama,sn SEN,DF,25.0,31.0,31.0,2706.0,30.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.03,0.03,0.0,0.03,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Zargo Touré,sn SEN,DF,25.0,29.0,29.0,2556.0,28.4,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Raphaël Guerreiro,pt POR,"DF,MF",21.0,34.0,27.0,2506.0,27.8,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,François Bellugou,fr FRA,"MF,DF",28.0,33.0,27.0,2298.0,25.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Benjamin Moukandjo,cm CMR,FW,26.0,31.0,26.0,2225.0,24.7,13.0,1.0,14.0,8.0,5.0,5.0,3.0,0.0,0.53,0.04,0.57,0.32,0.36,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Walid Mesloub,dz ALG,MF,29.0,29.0,23.0,2120.0,23.6,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,0.04,0.17,0.21,0.04,0.21,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Yann Jouffre,fr FRA,MF,31.0,27.0,21.0,1775.0,19.7,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,0.1,0.25,0.35,0.1,0.35,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Abdul Majeed Waris,gh GHA,FW,23.0,21.0,20.0,1651.0,18.3,11.0,3.0,14.0,9.0,2.0,2.0,1.0,1.0,0.6,0.16,0.76,0.49,0.65,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Vincent Le Goff,fr FRA,DF,25.0,27.0,19.0,1785.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Benjamin Jeannot,fr FRA,FW,23.0,29.0,19.0,1781.0,19.8,7.0,1.0,8.0,7.0,0.0,0.0,4.0,0.0,0.35,0.05,0.4,0.35,0.4,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Lamine Koné,ci CIV,DF,26.0,18.0,17.0,1552.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Romain Philippoteaux,fr FRA,"MF,FW",27.0,31.0,16.0,1427.0,15.9,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Maxime Barthelmé,fr FRA,MF,26.0,24.0,16.0,1261.0,14.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.36,0.0,0.36,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Wesley Lautoa,nc NCL,DF,27.0,13.0,11.0,1009.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Lindsay Rose,mu MRI,"DF,MF",23.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Jimmy Cabot,fr FRA,"MF,FW",21.0,13.0,8.0,746.0,8.3,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.12,0.36,0.48,0.12,0.48,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Pape Paye,fr FRA,"DF,MF",25.0,10.0,8.0,685.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Rafidine Abdullah,km COM,MF,21.0,12.0,6.0,579.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.16,0.0,0.16,0.16,0.16,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Hamadou Karamoko,ci CIV,DF,19.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Denis Bouanga,ga GAB,"FW,MF",20.0,4.0,3.0,194.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Yrondu Musavu-King,ga GAB,DF,23.0,3.0,2.0,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Florent Chaigneau,fr FRA,GK,31.0,2.0,1.0,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Valentin Lavigne,fr FRA,FW,21.0,6.0,1.0,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Rémi Mulumba,cd COD,MF,22.0,6.0,1.0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Erwin Koffi,fr FRA,FW,20.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Mehdi Mostefa,dz ALG,MF,31.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Moryké Fofana,ci CIV,"FW,MF",23.0,6.0,0.0,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Marvin Gakpa,fr FRA,"FW,MF",21.0,3.0,0.0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Alain Traoré,bf BFA,"FW,MF",26.0,3.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Anthony Lamonge,fr FRA,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Bradley Mazikou,cg CGO,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Ibrahima Sy,sn SEN,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Squad Total,,,25.4,38.0,418.0,3420.0,38.0,46.0,30.0,76.0,39.0,7.0,7.0,0.0,0.0,1.21,0.79,2.0,1.03,1.82,,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Opponent Total,,,26.3,38.0,418.0,3420.0,38.0,58.0,38.0,96.0,55.0,3.0,3.0,64.0,4.0,1.53,1.0,2.53,1.45,2.45,,ligue_1,13,lorient,d2c87802,,,,,,,,,,,,
2015-2016,Jonas Lössl,dk DEN,GK,26.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Jérémy Sorbon,fr FRA,DF,31.0,34.0,34.0,3029.0,33.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Jimmy Briand,fr FRA,FW,29.0,35.0,33.0,2936.0,32.6,7.0,7.0,14.0,7.0,0.0,0.0,2.0,0.0,0.21,0.21,0.43,0.21,0.43,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Younousse Sankharé,sn SEN,MF,25.0,33.0,33.0,2919.0,32.4,6.0,2.0,8.0,6.0,0.0,0.0,9.0,2.0,0.18,0.06,0.25,0.18,0.25,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Lars Jacobsen,dk DEN,DF,35.0,32.0,31.0,2751.0,30.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Christophe Kerbrat,fr FRA,DF,28.0,29.0,29.0,2589.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Yannis Salibur,fr FRA,"MF,FW",24.0,30.0,28.0,2330.0,25.9,7.0,6.0,13.0,7.0,0.0,0.0,4.0,1.0,0.27,0.23,0.5,0.27,0.5,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Mustapha Diallo,sn SEN,MF,29.0,30.0,21.0,1913.0,21.3,1.0,2.0,3.0,1.0,0.0,0.0,12.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Marcus Coco,fr FRA,MF,19.0,30.0,20.0,1726.0,19.2,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.05,0.1,0.16,0.05,0.16,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Thibault Giresse,fr FRA,MF,34.0,25.0,20.0,1702.0,18.9,4.0,4.0,8.0,2.0,2.0,2.0,2.0,1.0,0.21,0.21,0.42,0.11,0.32,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Lionel Mathis,fr FRA,MF,33.0,20.0,17.0,1383.0,15.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Jonathan Martins Pereira,fr FRA,DF,29.0,16.0,16.0,1382.0,15.4,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Sloan Privat,fr FRA,FW,26.0,27.0,14.0,1253.0,13.9,7.0,1.0,8.0,7.0,0.0,1.0,3.0,0.0,0.5,0.07,0.57,0.5,0.57,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Nicolas Benezet,fr FRA,"MF,FW",24.0,19.0,14.0,1237.0,13.7,4.0,4.0,8.0,4.0,0.0,0.0,3.0,1.0,0.29,0.29,0.58,0.29,0.58,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Benjamin Angoua,ci CIV,DF,28.0,18.0,13.0,1242.0,13.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Dorian Lévêque,fr FRA,DF,25.0,14.0,13.0,1204.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Mevlüt Erdinç,tr TUR,FW,28.0,15.0,11.0,869.0,9.7,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.41,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Ludovic Blas,fr FRA,MF,17.0,14.0,6.0,639.0,7.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.14,0.28,0.42,0.14,0.42,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Laurent Dos Santos,fr FRA,DF,21.0,9.0,6.0,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Reynald Lemaître,fr FRA,DF,32.0,6.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Julien Cardy,fr FRA,MF,33.0,14.0,4.0,511.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Mana Dembélé,ml MLI,FW,26.0,13.0,4.0,432.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Nill De Pauw,cd COD,MF,25.0,13.0,3.0,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Franck Héry,fr FRA,DF,22.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Maxime Baca,fr FRA,DF,32.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Mamadou Samassa,ml MLI,GK,25.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Julien Bègue,re REU,MF,21.0,3.0,0.0,46.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.96,1.96,0.0,1.96,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Jérémy Livolant,fr FRA,"FW,MF",17.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Théo Guivarch,fr FRA,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Sullivan Martinet,fr FRA,FW,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Squad Total,,,28.4,38.0,418.0,3420.0,38.0,46.0,36.0,82.0,44.0,2.0,3.0,0.0,0.0,1.21,0.95,2.16,1.16,2.11,,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Opponent Total,,,26.2,38.0,418.0,3420.0,38.0,52.0,34.0,86.0,47.0,5.0,7.0,89.0,13.0,1.37,0.89,2.26,1.24,2.13,,ligue_1,13,guingamp,d41b5f53,,,,,,,,,,,,
2015-2016,Wissam Ben Yedder,fr FRA,FW,24.0,35.0,34.0,2882.0,32.0,17.0,5.0,22.0,15.0,2.0,3.0,2.0,0.0,0.53,0.16,0.69,0.47,0.62,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Martin Braithwaite,dk DEN,FW,24.0,36.0,33.0,2931.0,32.6,11.0,0.0,11.0,9.0,2.0,3.0,1.0,0.0,0.34,0.0,0.34,0.28,0.28,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Marcel Tisserand,cd COD,DF,22.0,33.0,32.0,2842.0,31.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Jean-Daniel Akpa-Akpro,ci CIV,MF,22.0,33.0,29.0,2555.0,28.4,1.0,4.0,5.0,1.0,0.0,0.0,12.0,0.0,0.04,0.14,0.18,0.04,0.18,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Alban Lafont,fr FRA,GK,16.0,24.0,24.0,2144.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Somália,br BRA,"DF,MF",26.0,29.0,24.0,2119.0,23.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Óscar Trejo,ar ARG,"MF,FW",27.0,34.0,23.0,2172.0,24.1,4.0,4.0,8.0,4.0,0.0,0.0,6.0,1.0,0.17,0.17,0.33,0.17,0.33,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Tongo Doumbia,ml MLI,MF,25.0,25.0,22.0,1888.0,21.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.05,0.05,0.1,0.05,0.1,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Issa Diop,fr FRA,DF,18.0,21.0,21.0,1890.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.05,0.0,0.05,0.05,0.05,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Étienne Didot,fr FRA,MF,32.0,23.0,21.0,1642.0,18.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,François Moubandje,ch SUI,DF,25.0,23.0,20.0,1875.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Jean-Armel Kana-Biyik,cm CMR,DF,26.0,18.0,17.0,1462.0,16.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Adrien Regattin,ma MAR,"MF,FW",23.0,34.0,16.0,1517.0,16.9,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,0.06,0.24,0.3,0.06,0.3,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
2015-2016,Steeve Yago,bf BFA,DF,22.0,19.0,16.0,1449.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,toulouse,3f8c4b5f,,,,,,,,,,,,
