season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Nicolas Nkoulou,cm CMR,DF,24.0,24.0,23.0,2113.0,23.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Romain Alessandrini,fr FRA,"FW,MF",25.0,26.0,13.0,1264.0,14.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,0.21,0.28,0.5,0.21,0.5,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Mario Lemina,ga GAB,"DF,MF",20.0,23.0,13.0,1260.0,14.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Michy Batshuayi,be BEL,FW,20.0,26.0,6.0,911.0,10.1,9.0,0.0,9.0,9.0,0.0,1.0,1.0,0.0,0.89,0.0,0.89,0.89,0.89,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Baptiste Aloé,fr FRA,DF,20.0,14.0,4.0,461.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Lucas Ocampos,ar ARG,"FW,MF",20.0,14.0,3.0,528.0,5.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.34,0.17,0.51,0.34,0.51,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Abdelaziz Barrada,ma MAR,MF,25.0,9.0,3.0,279.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Stéphane Sparagna,fr FRA,DF,19.0,4.0,1.0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Billel Omrani,dz ALG,FW,21.0,4.0,0.0,67.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.34,0.0,1.34,1.34,1.34,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Lucas Mendes,qa QAT,DF,24.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Bilal Boutobba,fr FRA,"FW,MF",15.0,3.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Bill Tuiloma,nz NZL,"DF,MF",19.0,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
